,data_loss,physic_loss
0,0.2736039459705353,1.2859584330726648e-07
1,0.2725988030433655,5.9156104725843765e-08
2,0.25718948245048523,1.4223367543308996e-06
3,0.22660353779792786,4.486557259042456e-08
4,0.24638709425926208,1.5351740785263248e-07
5,0.25011518597602844,2.299183734066901e-07
6,0.2462799996137619,1.9759263523155825e-07
7,0.2358561009168625,6.73073874413177e-11
8,0.2544257342815399,3.0688922834087864e-07
9,0.2665702998638153,9.372405656904448e-07
10,0.2720734477043152,1.0494442221897771e-07
11,0.27256324887275696,3.644372554845177e-08
12,0.2728741466999054,4.472879595596169e-08
13,0.2731524407863617,5.251214929558046e-08
14,0.27340152859687805,5.969038170405838e-08
15,0.27362433075904846,6.622030355174503e-08
16,0.27382367849349976,7.20976572665677e-08
17,0.27400198578834534,7.734238351986278e-08
18,0.2741614282131195,8.198859973163054e-08
19,0.274304062128067,8.607788686276764e-08
20,0.27443164587020874,8.965486131273792e-08
21,0.27454572916030884,9.276434411731316e-08
22,0.2746477425098419,9.544969543640036e-08
23,0.2747389078140259,9.775179705684423e-08
24,0.27482032775878906,9.970841574613587e-08
25,0.27489298582077026,1.0135428283319926e-07
26,0.2749578356742859,1.0272083272866439e-07
27,0.27501553297042847,1.0383639619249153e-07
28,0.27506688237190247,1.0472663234395441e-07
29,0.275112509727478,1.0541425581322984e-07
30,0.27515295147895813,1.0591980981189408e-07
31,0.2751886248588562,1.0626154107740149e-07
32,0.27522003650665283,1.0645585462043529e-07
33,0.2752476632595062,1.0651725688148873e-07
34,0.27527177333831787,1.0645881047821605e-07
35,0.2752927243709564,1.0629220241753502e-07
36,0.27531078457832336,1.0602776683299454e-07
37,0.2753262221813202,1.0567483741397155e-07
38,0.2753393054008484,1.0524180424908992e-07
39,0.2753502130508423,1.0473613656358794e-07
40,0.2753591537475586,1.0416454188089119e-07
41,0.27536630630493164,1.0353317065892043e-07
42,0.27537181973457336,1.0284735481036478e-07
43,0.2753758132457733,1.021119715005625e-07
44,0.27537843585014343,1.0133149999091984e-07
45,0.27537986636161804,1.0050988521470572e-07
46,0.27538010478019714,9.965076515072724e-08
