,data_loss,physic_loss,
0,0.275327682,0.000140999,3.290633017
1,0.275182456,0.000131673,3.320125051
2,0.27503252,0.000122633,3.350775386
3,0.274877816,0.000113899,3.382619763
4,0.274718553,0.000105485,3.415695546
5,0.274554878,9.74E-05,3.450041305
6,0.274386972,8.97E-05,3.485695843
7,0.274215102,8.23E-05,3.522701243
8,0.274039358,7.53E-05,3.561100651
9,0.273860097,6.86E-05,3.600941666
10,0.273677558,6.24E-05,3.642275678
11,0.273491979,5.65E-05,3.685159861
12,0.273303717,5.09E-05,3.729658858
13,0.273112923,4.58E-05,3.775845877
14,0.272920102,4.09E-05,3.823806439
15,0.272725403,3.65E-05,3.873639929
16,0.272529125,3.24E-05,3.925463592
17,0.272331566,2.86E-05,3.97941743
18,0.272133082,2.51E-05,4.035668768
19,0.271933943,2.19E-05,4.094419648
20,0.271734357,1.90E-05,4.155914916
21,0.271534562,1.63E-05,4.220453375
22,0.271334946,1.40E-05,4.288402709
23,0.271135598,1.18E-05,4.360218009
24,0.270936638,9.92E-06,4.436468618
25,0.270738482,8.22E-06,4.517875692
26,0.270541102,6.71E-06,4.605364185
27,0.270344764,5.39E-06,4.700142931
28,0.270149559,4.24E-06,4.803825802
29,0.269955784,1.54E-06,5.244353607
30,0.26976496,8.37E-07,5.508320215
31,0.26957646,3.56E-07,5.878899395
32,0.269390076,8.47E-08,6.502644167
33,0.26920563,1.31E-12,11.31225023
34,0.26902324,7.78E-08,6.538700013
35,0.268842816,2.95E-07,5.960298503
36,0.268668145,5.30E-06,4.704542641
37,0.268431187,9.30E-06,4.460464888
38,0.257009715,0.000254289,3.00462214
39,0.242628515,0.001056099,2.361237081
40,0.226575136,0.002541872,1.950058537
41,0.209655136,0.00470485,1.648959743
42,0.19246681,0.007424283,1.413701313
43,0.17547217,0.010500091,1.223015179
44,0.159031197,0.013688996,1.065110719
45,0.14342162,0.016738048,0.93290982
46,0.128852874,0.019412816,0.822005581
47,0.115477048,0.021518899,0.729675623
48,0.103398338,0.022916004,0.654374667
49,0.092681319,0.02352534,0.595456286
50,0.083357781,0.023330919,0.553014292
51,0.075432017,0.022376107,0.527771192
52,0.068884559,0.0207562,0.520974036
53,0.063674048,0.01860789,0.534265322
54,0.059737898,0.016096214,0.569526207
55,0.056991942,0.013399617,0.628721078
56,0.055329524,0.010694213,0.713808095
57,0.05462084,0.008138446,0.826816878
58,0.054713231,0.005859973,0.97019675
59,0.055433333,0.003946345,1.147575909
60,0.05659217,0.002440897,1.365206927
61,0.057994429,0.001344157,1.634936193
62,0.059451874,0.000620284,1.981575175
63,0.060799234,0.00020716,2.467593051
64,0.061908338,2.83E-05,3.33964897
65,0.062696218,4.75E-06,4.120166199
66,0.063125387,6.49E-05,2.987894365
67,0.063197762,0.000151869,2.619231699
68,0.06294556,0.000227082,2.442782951
69,0.062421441,0.000270447,2.36325177
70,0.061689772,0.000277269,2.347312544
71,0.060819149,0.000253273,2.380451395
72,0.05987655,0.000209307,2.456473032
