,ymax,r,data_loss,physic_loss
0,0.5947700142860413,0.2975899875164032,0.4438591003417969,0.4438591003417969
1,0.6047700047492981,0.28758999705314636,0.44113484025001526,0.44113487005233765
2,0.6146982908248901,0.27764907479286194,0.4381944239139557,0.4381944239139557
3,0.6245066523551941,0.2678079605102539,0.4350200295448303,0.4350200295448303
4,0.6341484189033508,0.2581072151660919,0.43159210681915283,0.43159210681915283
5,0.6435798406600952,0.24858617782592773,0.427889347076416,0.42788931727409363
6,0.6527611017227173,0.2392820119857788,0.423888623714447,0.423888623714447
7,0.6616573929786682,0.2302289605140686,0.4195646643638611,0.4195646643638611
8,0.6702393293380737,0.22145764529705048,0.4148901402950287,0.4148901402950287
9,0.6784831881523132,0.21299467980861664,0.4098356068134308,0.4098356068134308
10,0.686370849609375,0.20486235618591309,0.4043692648410797,0.4043692946434021
11,0.6938897371292114,0.1970786303281784,0.39845743775367737,0.39845743775367737
12,0.7010321021080017,0.18965715169906616,0.3920644521713257,0.3920644521713257
13,0.7077947854995728,0.18260745704174042,0.38515281677246094,0.38515278697013855
14,0.7141783833503723,0.17593525350093842,0.3776839077472687,0.3776839077472687
15,0.7201868891716003,0.16964274644851685,0.36961841583251953,0.36961841583251953
16,0.7258269190788269,0.16372895240783691,0.3609171509742737,0.3609171509742737
17,0.7311074733734131,0.15819011628627777,0.35154208540916443,0.35154208540916443
18,0.7360391020774841,0.1530199646949768,0.3414582312107086,0.3414582312107086
19,0.7406338453292847,0.1482100486755371,0.3306344449520111,0.3306344449520111
20,0.7449045777320862,0.14374999701976776,0.3190467059612274,0.3190467059612274
21,0.7488648891448975,0.13962775468826294,0.3066804111003876,0.3066804111003876
22,0.7525289058685303,0.13582973182201385,0.2935332655906677,0.2935332655906677
23,0.7559108138084412,0.13234098255634308,0.2796192467212677,0.2796192467212677
24,0.759024977684021,0.1291452944278717,0.26497238874435425,0.26497238874435425
25,0.7618857026100159,0.1262253075838089,0.24965126812458038,0.24965126812458038
26,0.7645071744918823,0.12356257438659668,0.23374266922473907,0.23374266922473907
27,0.7669034004211426,0.12113766372203827,0.2173655480146408,0.2173655480146408
28,0.7690881490707397,0.11893026530742645,0.2006736397743225,0.2006736397743225
29,0.7710750102996826,0.1169193685054779,0.18385659158229828,0.18385657668113708
30,0.7728773355484009,0.11508345603942871,0.16713863611221313,0.16713863611221313
31,0.7745081782341003,0.11340080201625824,0.15077447891235352,0.15077447891235352
32,0.7759802937507629,0.11184985935688019,0.13504143059253693,0.13504143059253693
33,0.7773061990737915,0.1104096844792366,0.12022784352302551,0.12022784352302551
34,0.7784980535507202,0.10906045883893967,0.10661779344081879,0.10661779344081879
35,0.779567539691925,0.10778400301933289,0.09447275847196579,0.09447275847196579
36,0.7805259227752686,0.10656427592039108,0.08401163667440414,0.08401163667440414
37,0.7813839316368103,0.10538778454065323,0.07539116591215134,0.07539116591215134
38,0.7821516394615173,0.10424384474754333,0.06868883222341537,0.06868883222341537
39,0.7828384041786194,0.1031246930360794,0.06389088183641434,0.06389088183641434
40,0.7834528684616089,0.1020253524184227,0.06088779494166374,0.06088779494166374
41,0.7840029001235962,0.10094331949949265,0.05947880819439888,0.05947880446910858
42,0.7844955325126648,0.09987811744213104,0.05938627943396568,0.05938627943396568
43,0.7849370837211609,0.09883073717355728,0.06027894467115402,0.06027894467115402
44,0.7853331565856934,0.09780307114124298,0.06180159002542496,0.06180159002542496
45,0.785688579082489,0.09679737687110901,0.06360676139593124,0.06360676139593124
46,0.7860077619552612,0.09581588953733444,0.06538382172584534,0.06538382172584534
47,0.7862944006919861,0.0948604941368103,0.06688090413808823,0.06688090413808823
48,0.7865518927574158,0.09393257647752762,0.06791739910840988,0.06791739910840988
49,0.7867830991744995,0.09303297847509384,0.06838665157556534,0.06838665157556534
50,0.7869906425476074,0.09216202795505524,0.06825035065412521,0.06825035065412521
51,0.787176787853241,0.09131963551044464,0.0675273984670639,0.0675273984670639
