,weight_physic,Trainable_Params,l2,ode_int,lr,hidden_size,num_layer,x_axis,validation_rMSE,train_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,n_split,validation_rMSE_std,train_rMSE_std,test_rMSE_std,train_shapeDTW_std,validation_shapeDTW_std,test_shapeDTW_std
1,2,111,1.0,False,0.001,3,1,W_2_TrP_111_l2_1.0_lr_0.001,0.0744,0.028200000000000003,0.055200000000000006,0.1046,0.1476,0.1242,0.3383969962596893,0.8072211742401123,0.0,0.0051283525619832335,0.0037013511046643487,0.004207136793592523,0.010454664030948097,0.01538830724933707,0.008258329128825034
9,9,111,1.0,False,0.001,3,1,W_9_TrP_111_l2_1.0_lr_0.001,0.0758,0.029200000000000004,0.057999999999999996,0.1072,0.146,0.1252,0.2783102393150329,0.8525781631469727,0.0,0.005890670590009255,0.00408656334834051,0.0038078865529319545,0.01377316230936091,0.0202854627751008,0.010034938963441686
5,2,215,1.0,False,0.001,5,1,W_2_TrP_215_l2_1.0_lr_0.001,0.0834,0.0264,0.0558,0.0992,0.1446,0.122,0.36668505668640133,0.8575103998184204,0.0,0.012421755109484327,0.004159326868617086,0.011882760622010357,0.01564288975860918,0.01057355191030904,0.01232882800593796
0,2,111,0.1,False,0.001,3,1,W_2_TrP_111_l2_0.1_lr_0.001,0.08499999999999999,0.027800000000000002,0.054400000000000004,0.1018,0.13419999999999999,0.11480000000000001,0.38579330444335935,0.8791189551353454,0.0,0.021236760581595297,0.005761944116355173,0.01696466916859861,0.019588261791185054,0.016177144370994524,0.013141537200799615
13,9,215,1.0,False,0.001,5,1,W_9_TrP_215_l2_1.0_lr_0.001,0.0858,0.0274,0.05740000000000001,0.099,0.13879999999999998,0.12,0.28629549145698546,0.8808242201805114,0.0,0.009576011695899294,0.004505552130427526,0.005366563145999496,0.01046422476822818,0.009230384607371455,0.004301162633521313
12,9,215,0.1,False,0.001,5,1,W_9_TrP_215_l2_0.1_lr_0.001,0.0868,0.0262,0.0444,0.09340000000000001,0.1308,0.10540000000000001,0.2863025784492493,0.9027245998382568,0.0,0.018212632978237938,0.00454972526643093,0.0055497747702046435,0.010064790112068903,0.0095236547606473,0.004393176527297751
8,9,111,0.1,False,0.001,3,1,W_9_TrP_111_l2_0.1_lr_0.001,0.0872,0.0246,0.0506,0.091,0.1296,0.11200000000000002,0.291175377368927,0.8905089020729064,0.0,0.016798809481626965,0.0015165750888103105,0.018447222013083707,0.0021213203435596433,0.008763560920082653,0.014999999999999998
4,2,215,0.1,False,0.001,5,1,W_2_TrP_215_l2_0.1_lr_0.001,0.0874,0.0274,0.044,0.09459999999999999,0.1366,0.1072,0.38441131114959715,0.8979704856872559,0.0,0.017615334229017628,0.0029664793948382647,0.010793516572461451,0.009555103348473006,0.010526157893552615,0.014889593681494472
7,2,455,1.0,False,0.001,5,2,W_2_TrP_455_l2_1.0_lr_0.001,0.0958,0.025,0.0492,0.09040000000000001,0.1292,0.11299999999999999,0.3767977714538574,0.8839569091796875,0.0,0.014788509052639487,0.0009999999999999996,0.010401922899156672,0.005224940191045254,0.013645512082732552,0.009027735042633893
15,9,455,1.0,False,0.001,5,2,W_9_TrP_455_l2_1.0_lr_0.001,0.098,0.0252,0.052000000000000005,0.089,0.1262,0.11699999999999999,0.2889852225780487,0.8970187664031982,0.0,0.013509256086106295,0.0019235384061671345,0.016807736313971613,0.004527692569068708,0.013311649033834983,0.016416455159382
14,9,455,0.1,False,0.001,5,2,W_9_TrP_455_l2_0.1_lr_0.001,0.0982,0.024399999999999998,0.0444,0.0834,0.11739999999999999,0.1036,0.2900539100170135,0.91201411485672,0.0,0.016376812876747422,0.0037148351242013425,0.012915107432770351,0.008384509526501835,0.013794926603646722,0.012521980673998826
10,9,207,0.1,False,0.001,3,2,W_9_TrP_207_l2_0.1_lr_0.001,0.1024,0.0252,0.054400000000000004,0.0914,0.1262,0.11439999999999999,0.28875362873077387,0.90473712682724,0.0,0.013030732903409538,0.0019235384061671355,0.020695410119154437,0.006877499545619759,0.008497058314499208,0.01781291666179349
6,2,455,0.1,False,0.001,5,2,W_2_TrP_455_l2_0.1_lr_0.001,0.10300000000000001,0.023,0.0506,0.0836,0.1186,0.10540000000000001,0.3854745030403137,0.9101004242897034,0.0,0.014713938969562154,0.0023452078799117153,0.016288032416470692,0.006580273550544841,0.01795271567200907,0.011991663771137012
3,2,207,1.0,False,0.001,3,2,W_2_TrP_207_l2_1.0_lr_0.001,0.10899999999999999,0.028200000000000003,0.0612,0.1028,0.1352,0.1258,0.3621328115463257,0.8523259997367859,0.0,0.006964194138592059,0.003701351104664349,0.013754999091239525,0.009523654760647302,0.011819475453673907,0.014703741020570243
2,2,207,0.1,False,0.001,3,2,W_2_TrP_207_l2_0.1_lr_0.001,0.11280000000000001,0.028000000000000004,0.0436,0.0924,0.126,0.1048,0.38357710838317866,0.9016381740570069,0.0,0.02120613118888025,0.003240370349203931,0.020107212636265626,0.007503332592921633,0.017378147196982767,0.017767948671695337
11,9,207,1.0,False,0.001,3,2,W_9_TrP_207_l2_1.0_lr_0.001,0.11979999999999999,0.026600000000000002,0.0636,0.09519999999999999,0.139,0.1238,0.2852219700813293,0.8819186449050903,0.0,0.015546703830716012,0.00270185121722126,0.01902104098097683,0.008526429498916882,0.008336666000266531,0.01323631368621944
