,weight_physic,Trainable_Params,l2,ode_int,lr,hidden_size,num_layer,x_axis,validation_rMSE,train_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,n_split,validation_rMSE_std,train_rMSE_std,test_rMSE_std,train_shapeDTW_std,validation_shapeDTW_std,test_shapeDTW_std
1,2,111,1.0,False,0.001,3,1,W_2_TrP_111_l2_1.0_lr_0.001,0.0444,0.021,0.032600000000000004,0.073,0.09319999999999999,0.061399999999999996,0.35597896575927734,0.6334575891494751,0.0,0.00909945053286186,0.003937003937005906,0.010784247771634328,0.0052915026221291815,0.0036331804249169933,0.00736885337077622
0,2,111,0.1,False,0.001,3,1,W_2_TrP_111_l2_0.1_lr_0.001,0.045200000000000004,0.0204,0.0424,0.0702,0.0878,0.06620000000000001,0.40910098552703855,0.672712790966034,0.0,0.014635573101180563,0.0032093613071762428,0.020107212636265623,0.005805170109479997,0.009934787365615837,0.01639207125411551
4,2,215,0.1,False,0.001,5,1,W_2_TrP_215_l2_0.1_lr_0.001,0.045399999999999996,0.020200000000000003,0.0288,0.0694,0.0856,0.0596,0.4087604582309723,0.6978258728981018,0.0,0.00907193474403338,0.0019235384061671345,0.0077265775088327425,0.004449719092257397,0.004615192303685727,0.004929503017546498
5,2,215,1.0,False,0.001,5,1,W_2_TrP_215_l2_1.0_lr_0.001,0.0464,0.019200000000000002,0.0346,0.0654,0.094,0.061,0.3850677847862244,0.6739519953727722,0.0,0.008502940667792528,0.0027748873851023213,0.014638989036132243,0.006730527468185536,0.006670832032063168,0.008774964387392122
9,9,111,1.0,False,0.001,3,1,W_9_TrP_111_l2_1.0_lr_0.001,0.046400000000000004,0.0204,0.0312,0.0732,0.0944,0.061,0.2981208026409149,0.6663777351379394,0.0,0.011081516141756058,0.003361547262794322,0.00978263768111648,0.005540758070878025,0.0035071355833500395,0.006000000000000001
12,9,215,0.1,False,0.001,5,1,W_9_TrP_215_l2_0.1_lr_0.001,0.047,0.019,0.0408,0.07039999999999999,0.0842,0.0654,0.31870117187499997,0.6909343361854553,0.0,0.003391164991562634,0.0007071067811865482,0.01217374223482656,0.0034351128074635285,0.0037682887362833527,0.014117365193264638
8,9,111,0.1,False,0.001,3,1,W_9_TrP_111_l2_0.1_lr_0.001,0.048799999999999996,0.0186,0.0428,0.06659999999999999,0.09059999999999999,0.0632,0.31700338125228883,0.6810654759407043,0.0,0.012755391017134675,0.003911521443121589,0.020067386476569388,0.00581377674149945,0.008018728078691782,0.016798809481626965
13,9,215,1.0,False,0.001,5,1,W_9_TrP_215_l2_1.0_lr_0.001,0.0504,0.0196,0.027800000000000002,0.06799999999999999,0.0978,0.06,0.3105974495410919,0.6896533131599426,0.0,0.010089598604503551,0.003577708763999662,0.007726577508832746,0.006745368781616023,0.0065345237010818145,0.008246211251235324
6,2,455,0.1,False,0.001,5,2,W_2_TrP_455_l2_0.1_lr_0.001,0.057199999999999994,0.0182,0.0356,0.06,0.093,0.0706,0.4094276428222656,0.7020105361938477,0.0,0.01904468429772465,0.0021679483388678793,0.016772000476985446,0.0029154759474226528,0.004062019202317984,0.00789303490426845
10,9,207,0.1,False,0.001,3,2,W_9_TrP_207_l2_0.1_lr_0.001,0.05840000000000001,0.0186,0.034199999999999994,0.0658,0.08940000000000001,0.058399999999999994,0.3144054353237152,0.6979672193527222,0.0,0.005639148871948675,0.0023021728866442675,0.011432410069622237,0.00408656334834051,0.00456070170039655,0.004098780306383838
14,9,455,0.1,False,0.001,5,2,W_9_TrP_455_l2_0.1_lr_0.001,0.059399999999999994,0.0174,0.039400000000000004,0.0596,0.0944,0.069,0.31719728708267214,0.6999197840690613,0.0,0.01900789309734248,0.0023021728866442675,0.015993748778819806,0.004393176527297761,0.0033615472627943244,0.005744562646538032
15,9,455,1.0,False,0.001,5,2,W_9_TrP_455_l2_1.0_lr_0.001,0.0618,0.0174,0.034199999999999994,0.0616,0.0972,0.06599999999999999,0.3131630182266235,0.6969727754592896,0.0,0.017852170736355845,0.001140175425099138,0.013553597308463903,0.0043931765272977605,0.00460434577328854,0.012549900398011137
7,2,455,1.0,False,0.001,5,2,W_2_TrP_455_l2_1.0_lr_0.001,0.0632,0.019200000000000002,0.032,0.0638,0.097,0.0642,0.3979952156543731,0.6889880061149597,0.0,0.019967473550752485,0.0021679483388678793,0.011467344941179717,0.0017888543819998325,0.004301162633521316,0.0067230945255886436
3,2,207,1.0,False,0.001,3,2,W_2_TrP_207_l2_1.0_lr_0.001,0.06620000000000001,0.019,0.032600000000000004,0.06720000000000001,0.0978,0.061,0.381656152009964,0.6689053535461426,0.0,0.013217412757419661,0.001870828693386971,0.01829754081837229,0.0019235384061671362,0.003701351104664349,0.007810249675906651
2,2,207,0.1,False,0.001,3,2,W_2_TrP_207_l2_0.1_lr_0.001,0.0692,0.0178,0.0328,0.0654,0.09019999999999999,0.0586,0.4106796562671661,0.6977827310562134,0.0,0.011233877335986893,0.000836660026534075,0.00867179335547152,0.0021908902300206657,0.008378544026261366,0.0039115214431215874
11,9,207,1.0,False,0.001,3,2,W_9_TrP_207_l2_1.0_lr_0.001,0.07139999999999999,0.0186,0.0372,0.06520000000000001,0.0984,0.0628,0.3086835205554962,0.6883089780807495,0.0,0.0224788789756073,0.0016733200530681506,0.018417383093154147,0.0035637059362410954,0.0049295030175464955,0.006760177512462226
