,weight_physic,Trainable_Params,l2,ode_int,lr,hidden_size,num_layer,x_axis,validation_rMSE,train_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,n_split,validation_rMSE_std,train_rMSE_std,test_rMSE_std,train_shapeDTW_std,validation_shapeDTW_std,test_shapeDTW_std
13,9,215,1.0,False,0.001,5,1,W_9_TrP_215_l2_1.0_lr_0.001,0.0324,0.025,0.0636,0.0818,0.0814,0.101,0.31331307291984556,0.6857195019721984,0.0,0.00844393273303382,0.005000000000000001,0.019781304304822774,0.0073280283842245015,0.013011533345459328,0.009380831519646856
5,2,215,1.0,False,0.001,5,1,W_2_TrP_215_l2_1.0_lr_0.001,0.033,0.023600000000000003,0.061,0.08159999999999999,0.087,0.10540000000000001,0.3877518951892852,0.6689362764358521,0.0,0.0071063352017759485,0.002073644135332772,0.018207141456033124,0.005941380311005178,0.010124228365658298,0.006949820141557619
4,2,215,0.1,False,0.001,5,1,W_2_TrP_215_l2_0.1_lr_0.001,0.0334,0.0236,0.066,0.0828,0.0868,0.10200000000000001,0.413753467798233,0.6918404698371887,0.0,0.006841052550594829,0.002880972058177587,0.019144189719076648,0.009497368056467018,0.004381780460041325,0.010559356040971442
1,2,111,1.0,False,0.001,3,1,W_2_TrP_111_l2_1.0_lr_0.001,0.033600000000000005,0.027000000000000003,0.0726,0.09219999999999999,0.0928,0.1022,0.3570058524608612,0.6330015063285828,0.0,0.0008944271909999173,0.0018708286933869715,0.004774934554525324,0.0014832396974191332,0.005263078946776311,0.009230384607371465
12,9,215,0.1,False,0.001,5,1,W_9_TrP_215_l2_0.1_lr_0.001,0.0338,0.0248,0.0718,0.0846,0.08360000000000001,0.0934,0.3205524921417236,0.6892594337463379,0.0,0.004438468204234429,0.00204939015319192,0.011562871615649811,0.004929503017546494,0.0020736441353327727,0.006693280212272605
0,2,111,0.1,False,0.001,3,1,W_2_TrP_111_l2_0.1_lr_0.001,0.034999999999999996,0.0254,0.0716,0.0884,0.08420000000000001,0.0986,0.412016898393631,0.6684115409851075,0.0,0.004000000000000002,0.0024083189157584587,0.004722287581247037,0.003781534080237809,0.002863564212655268,0.009864076236526163
9,9,111,1.0,False,0.001,3,1,W_9_TrP_111_l2_1.0_lr_0.001,0.036199999999999996,0.0262,0.0692,0.0908,0.089,0.0968,0.3010149359703064,0.6652515172958374,0.0,0.00496990945591567,0.0017888543819998312,0.006418722614352484,0.00641872261435249,0.0037416573867739404,0.007854934754662198
15,9,455,1.0,False,0.001,5,2,W_9_TrP_455_l2_1.0_lr_0.001,0.037,0.022600000000000002,0.06899999999999999,0.0794,0.0836,0.0978,0.3161139130592346,0.693692421913147,0.0,0.011532562594670797,0.0026076809620810583,0.015604486534327233,0.006228964600958975,0.01357571360923616,0.00782304288624318
8,9,111,0.1,False,0.001,3,1,W_9_TrP_111_l2_0.1_lr_0.001,0.0372,0.0232,0.061,0.0824,0.08080000000000001,0.09,0.31886974573135374,0.6733928799629212,0.0,0.007823042886243178,0.0027748873851023213,0.014159802258506294,0.006841052550594827,0.0016431676725155002,0.016867127793433002
7,2,455,1.0,False,0.001,5,2,W_2_TrP_455_l2_1.0_lr_0.001,0.038,0.0224,0.0754,0.0804,0.0904,0.1042,0.4017156183719635,0.6880690813064575,0.0,0.00595818764390649,0.0018165902124584958,0.014363147287415803,0.004159326868617083,0.010212737145349428,0.006220932405998322
2,2,207,0.1,False,0.001,3,2,W_2_TrP_207_l2_0.1_lr_0.001,0.0436,0.023799999999999998,0.06100000000000001,0.082,0.0872,0.097,0.4147495567798615,0.6948675274848938,0.0,0.00907193474403338,0.0010954451150103333,0.013747727084867519,0.0036055512754639813,0.006099180272790762,0.005567764362830017
11,9,207,1.0,False,0.001,3,2,W_9_TrP_207_l2_1.0_lr_0.001,0.044,0.025,0.0718,0.0852,0.0858,0.086,0.3114593029022217,0.6804787278175354,0.0,0.009823441352194248,0.0018708286933869717,0.01942163741809634,0.004969909455915664,0.012911235417263526,0.007810249675906656
6,2,455,0.1,False,0.001,5,2,W_2_TrP_455_l2_0.1_lr_0.001,0.0448,0.0196,0.0622,0.07139999999999999,0.09459999999999999,0.11339999999999999,0.41165385842323304,0.7075445890426636,0.0,0.007259476565152614,0.0011401754250991393,0.01672423391369542,0.0030495901363953733,0.012320714265009153,0.010089598604503546
14,9,455,0.1,False,0.001,5,2,W_9_TrP_455_l2_0.1_lr_0.001,0.046,0.0198,0.061399999999999996,0.0722,0.0948,0.11239999999999999,0.3187735319137573,0.7039815664291382,0.0,0.006442049363362561,0.0019235384061671332,0.014842506526863985,0.005019960159204449,0.012930583900195693,0.010310189135025603
10,9,207,0.1,False,0.001,3,2,W_9_TrP_207_l2_0.1_lr_0.001,0.0462,0.024,0.06420000000000001,0.0824,0.084,0.09,0.3176281213760376,0.692508065700531,0.0,0.004207136793592525,0.0012247448713915898,0.0038340579025361653,0.0029664793948382564,0.002549509756796389,0.004636809247747856
3,2,207,1.0,False,0.001,3,2,W_2_TrP_207_l2_1.0_lr_0.001,0.048799999999999996,0.0248,0.064,0.08499999999999999,0.092,0.09,0.383380514383316,0.6620073318481445,0.0,0.005674504383644445,0.0016431676725154993,0.00552268050859363,0.005522680508593628,0.0020000000000000018,0.005700877125495692
