,weight_physic,Trainable_Params,l2,ode_int,lr,hidden_size,num_layer,x_axis,validation_rMSE,train_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,n_split,validation_rMSE_std,train_rMSE_std,test_rMSE_std,train_shapeDTW_std,validation_shapeDTW_std,test_shapeDTW_std
4,0,215,0.1,False,0.001,5,1,W_0_TrP_215_l2_0.1_lr_0.001,0.0358,0.022,0.035199999999999995,0.0774,0.081,0.0654,0.10000000149011609,0.800000011920929,0.0,0.011519548602267364,0.005338539126015653,0.01211197754291181,0.013240090634130872,0.009354143466934854,0.014690132742763084
5,0,215,1.0,False,0.001,5,1,W_0_TrP_215_l2_1.0_lr_0.001,0.0358,0.022,0.035199999999999995,0.0774,0.081,0.0654,0.10000000149011609,0.800000011920929,0.0,0.011519548602267364,0.005338539126015653,0.01211197754291181,0.013240090634130872,0.009354143466934854,0.014690132742763084
0,0,111,0.1,False,0.001,3,1,W_0_TrP_111_l2_0.1_lr_0.001,0.0464,0.0222,0.047599999999999996,0.0772,0.0746,0.0706,0.10000000149011609,0.800000011920929,0.0,0.01668232597691341,0.004381780460041329,0.00971081870904817,0.004147288270665549,0.005856620185738527,0.022154006409676776
1,0,111,1.0,False,0.001,3,1,W_0_TrP_111_l2_1.0_lr_0.001,0.0464,0.0222,0.047599999999999996,0.0772,0.0746,0.0706,0.10000000149011609,0.800000011920929,0.0,0.01668232597691341,0.004381780460041329,0.00971081870904817,0.004147288270665549,0.005856620185738527,0.022154006409676776
6,0,455,0.1,False,0.001,5,2,W_0_TrP_455_l2_0.1_lr_0.001,0.0524,0.0186,0.040799999999999996,0.06999999999999999,0.0722,0.0646,0.10000000149011609,0.800000011920929,0.0,0.016040573555830225,0.0015165750888103096,0.012597618822618822,0.0029154759474226462,0.0037013511046643495,0.008648699324175864
7,0,455,1.0,False,0.001,5,2,W_0_TrP_455_l2_1.0_lr_0.001,0.0524,0.0186,0.040799999999999996,0.06999999999999999,0.0722,0.0646,0.10000000149011609,0.800000011920929,0.0,0.016040573555830225,0.0015165750888103096,0.012597618822618822,0.0029154759474226462,0.0037013511046643495,0.008648699324175864
2,0,207,0.1,False,0.001,3,2,W_0_TrP_207_l2_0.1_lr_0.001,0.05840000000000001,0.0194,0.035199999999999995,0.072,0.073,0.06,0.10000000149011609,0.800000011920929,0.0,0.009289779329994871,0.0033615472627943218,0.004816637831516918,0.00809320702811932,0.005244044240850755,0.011247221879201992
3,0,207,1.0,False,0.001,3,2,W_0_TrP_207_l2_1.0_lr_0.001,0.05840000000000001,0.0194,0.035199999999999995,0.072,0.073,0.06,0.10000000149011609,0.800000011920929,0.0,0.009289779329994871,0.0033615472627943218,0.004816637831516918,0.00809320702811932,0.005244044240850755,0.011247221879201992
