,weight_physic,Trainable_Params,l2,ode_int,lr,hidden_size,num_layer,x_axis,validation_rMSE,train_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,n_split,validation_rMSE_std,train_rMSE_std,test_rMSE_std,train_shapeDTW_std,validation_shapeDTW_std,test_shapeDTW_std
1,2,111,1.0,False,0.001,3,1,W_2_TrP_111_l2_1.0_lr_0.001,0.086,0.0332,0.054200000000000005,0.11579999999999999,0.19419999999999998,0.1272,0.3453893542289734,0.7287773370742798,0.0,0.007713624310270753,0.00216794833886788,0.004868264577855233,0.007596051605933179,0.017340703561274557,0.007981227975693974
9,9,111,1.0,False,0.001,3,1,W_9_TrP_111_l2_1.0_lr_0.001,0.0862,0.0332,0.055400000000000005,0.11499999999999999,0.1906,0.127,0.2843767702579498,0.770901620388031,0.0,0.007328028384224502,0.0020493901531919217,0.004159326868617081,0.007106335201775948,0.016288032416470692,0.00839642781187334
12,9,215,0.1,False,0.001,5,1,W_9_TrP_215_l2_0.1_lr_0.001,0.08940000000000001,0.0312,0.0496,0.1076,0.1744,0.11679999999999999,0.29723618626594545,0.8140279650688171,0.0,0.011674759098157014,0.0028635642126552696,0.008324662155306964,0.0068774995456197556,0.012876334882255907,0.009121403400793104
0,2,111,0.1,False,0.001,3,1,W_2_TrP_111_l2_0.1_lr_0.001,0.0908,0.0316,0.0534,0.1058,0.1824,0.119,0.3918703615665436,0.7907464981079102,0.0,0.014254823744964368,0.0025099800796022256,0.010737783756436893,0.011211601134539166,0.013992855319769449,0.014195069566578386
5,2,215,1.0,False,0.001,5,1,W_2_TrP_215_l2_1.0_lr_0.001,0.0908,0.0322,0.056400000000000006,0.11080000000000001,0.1878,0.127,0.37147716283798216,0.7741456151008606,0.0,0.006870225614927069,0.0010954451150103327,0.006268971207462991,0.006457553716385177,0.011322543883774532,0.009974968671630008
4,2,215,0.1,False,0.001,5,1,W_2_TrP_215_l2_0.1_lr_0.001,0.091,0.0304,0.0474,0.10700000000000001,0.179,0.1142,0.39257875084877014,0.8137511372566223,0.0,0.01638596960817394,0.0015165750888103107,0.006024948132556827,0.006041522986797283,0.014560219778561045,0.007463243262818115
13,9,215,1.0,False,0.001,5,1,W_9_TrP_215_l2_1.0_lr_0.001,0.0926,0.032600000000000004,0.0568,0.11339999999999999,0.1924,0.1272,0.2943105041980743,0.792828631401062,0.0,0.0073348483283568995,0.0015165750888103122,0.004266145801540309,0.005941380311005174,0.006767569726275462,0.008899438184514802
8,9,111,0.1,False,0.001,3,1,W_9_TrP_111_l2_0.1_lr_0.001,0.0932,0.0312,0.0566,0.1072,0.1784,0.1248,0.2995025694370269,0.7931819558143616,0.0,0.015319921670818037,0.001303840481040531,0.009099450532861859,0.0063007936008093466,0.014170391667134687,0.013971399357258392
6,2,455,0.1,False,0.001,5,2,W_2_TrP_455_l2_0.1_lr_0.001,0.0934,0.028200000000000003,0.038,0.1028,0.168,0.1052,0.39118601083755494,0.8266433000564575,0.0,0.005029910535983722,0.000447213595499958,0.006041522986797286,0.0019235384061671323,0.01979898987322334,0.01380941707676323
14,9,455,0.1,False,0.001,5,2,W_9_TrP_455_l2_0.1_lr_0.001,0.099,0.028600000000000004,0.0428,0.1032,0.1678,0.11439999999999999,0.2966211318969726,0.8226213216781616,0.0,0.010931605554537727,0.0008944271909999156,0.007596051605933177,0.0027748873851023213,0.014737706741552434,0.008018728078691783
10,9,207,0.1,False,0.001,3,2,W_9_TrP_207_l2_0.1_lr_0.001,0.0992,0.0308,0.0558,0.10500000000000001,0.17880000000000001,0.1206,0.2976497888565063,0.8084386467933655,0.0,0.008288546314040844,0.0017888543819998312,0.00917605579756357,0.005916079783099615,0.011649034294738774,0.0074699397587932375
2,2,207,0.1,False,0.001,3,2,W_2_TrP_207_l2_0.1_lr_0.001,0.1012,0.0312,0.06520000000000001,0.1086,0.178,0.11399999999999999,0.3913806557655334,0.8118773818016052,0.0,0.009011104260855052,0.0028635642126552696,0.04974635665051261,0.011949895397031724,0.012649110640673514,0.018055470085267783
15,9,455,1.0,False,0.001,5,2,W_9_TrP_455_l2_1.0_lr_0.001,0.1034,0.0316,0.05500000000000001,0.1078,0.182,0.1296,0.2984177231788635,0.8045663475990296,0.0,0.01703819239238717,0.0011401754250991395,0.011575836902790225,0.0031144823004794903,0.01592168332809066,0.011304866208850068
7,2,455,1.0,False,0.001,5,2,W_2_TrP_455_l2_1.0_lr_0.001,0.10800000000000001,0.0324,0.0602,0.11080000000000001,0.184,0.1366,0.38714213371276857,0.7950916886329651,0.0,0.03598610843089317,0.0032093613071762428,0.019778776504121784,0.006833739825307957,0.010222524150130433,0.023733941939762138
11,9,207,1.0,False,0.001,3,2,W_9_TrP_207_l2_1.0_lr_0.001,0.10900000000000001,0.0322,0.059,0.11280000000000001,0.193,0.1366,0.2942195653915405,0.7904327630996704,0.0,0.007648529270389182,0.00044721359549995774,0.01095445115010332,0.0025884358211089573,0.012349089035228472,0.01001498876684342
3,2,207,1.0,False,0.001,3,2,W_2_TrP_207_l2_1.0_lr_0.001,0.11180000000000001,0.0322,0.0514,0.1092,0.1902,0.1282,0.3686805009841919,0.7715164065361023,0.0,0.00917605579756357,0.000836660026534077,0.011081516141756058,0.005215361924162123,0.01495660389259539,0.012357184145265456
