,weight_physic,Trainable_Params,l2,ode_int,lr,hidden_size,num_layer,x_axis,validation_rMSE,train_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,n_split,validation_rMSE_std,train_rMSE_std,test_rMSE_std,train_shapeDTW_std,validation_shapeDTW_std,test_shapeDTW_std
4,2,215,0.1,False,0.001,5,1,W_2_TrP_215_l2_0.1_lr_0.001,0.0446,0.0182,0.0324,0.0698,0.0748,0.064,0.4156720221042633,0.702999222278595,0.0,0.004827007354458867,0.0019235384061671347,0.010549881515922345,0.007429670248402689,0.004969909455915669,0.009486832980505141
5,2,215,1.0,False,0.001,5,1,W_2_TrP_215_l2_1.0_lr_0.001,0.0454,0.0204,0.0304,0.0742,0.0736,0.054400000000000004,0.38960817456245417,0.6724907875061035,0.0,0.007092249290598858,0.00260768096208106,0.007334848328356899,0.00511859355682789,0.006107372593840985,0.005639148871948675
12,9,215,0.1,False,0.001,5,1,W_9_TrP_215_l2_0.1_lr_0.001,0.0458,0.0194,0.0306,0.072,0.0756,0.05700000000000001,0.3238086462020874,0.6962519407272338,0.0,0.0048166378315169164,0.0005477225575051663,0.007056911505750941,0.0029999999999999988,0.0029664793948382673,0.00790569415042095
1,2,111,1.0,False,0.001,3,1,W_2_TrP_111_l2_1.0_lr_0.001,0.046599999999999996,0.0216,0.0314,0.0798,0.0816,0.0568,0.3586736738681793,0.6368626117706299,0.0,0.007021395872616781,0.0027928480087537886,0.0025099800796022282,0.0065345237010818145,0.004505552130427522,0.005761944116355174
13,9,215,1.0,False,0.001,5,1,W_9_TrP_215_l2_1.0_lr_0.001,0.046799999999999994,0.020200000000000003,0.031,0.0732,0.0728,0.053000000000000005,0.316344940662384,0.6886265635490417,0.0,0.006418722614352485,0.00216794833886788,0.005522680508593631,0.005674504383644444,0.005761944116355171,0.005049752469181038
9,9,111,1.0,False,0.001,3,1,W_9_TrP_111_l2_1.0_lr_0.001,0.0472,0.0216,0.032,0.0798,0.08020000000000001,0.0558,0.3035029828548431,0.6669477343559265,0.0,0.006457553716385178,0.0024083189157584604,0.0022360679774997903,0.006760177512462226,0.004969909455915672,0.006572670690061992
0,2,111,0.1,False,0.001,3,1,W_2_TrP_111_l2_0.1_lr_0.001,0.047599999999999996,0.019200000000000002,0.026600000000000002,0.07200000000000001,0.0758,0.0534,0.4146429240703583,0.683474600315094,0.0,0.011717508267545624,0.002949576240750525,0.009581231653602787,0.007449832212875671,0.004604345773288531,0.007536577472566711
8,9,111,0.1,False,0.001,3,1,W_9_TrP_111_l2_0.1_lr_0.001,0.0486,0.0198,0.027800000000000002,0.0736,0.0758,0.055200000000000006,0.3223849594593048,0.6800417900085449,0.0,0.008502940667792521,0.0019235384061671338,0.012557866060760486,0.005412947441089739,0.004207136793592522,0.011099549540409285
7,2,455,1.0,False,0.001,5,2,W_2_TrP_455_l2_1.0_lr_0.001,0.0522,0.0174,0.027200000000000002,0.0666,0.0762,0.057800000000000004,0.40432134866714475,0.691024923324585,0.0,0.008584870412533903,0.001140175425099137,0.010134100848126586,0.0032093613071762397,0.0023874672772626676,0.006833739825307955
15,9,455,1.0,False,0.001,5,2,W_9_TrP_455_l2_1.0_lr_0.001,0.0548,0.0182,0.0312,0.0682,0.0744,0.05940000000000001,0.31909878253936763,0.6946048498153686,0.0,0.007791020472312982,0.0013038404810405291,0.010756393447619885,0.005263078946776306,0.0028809720581775876,0.007300684899377592
6,2,455,0.1,False,0.001,5,2,W_2_TrP_455_l2_0.1_lr_0.001,0.05800000000000001,0.015,0.027000000000000003,0.059399999999999994,0.0784,0.0668,0.41647114157676696,0.7055572748184205,0.0,0.005999999999999999,0.0007071067811865478,0.008860022573334675,0.0023021728866442683,0.0031304951684997077,0.00739594483484024
14,9,455,0.1,False,0.001,5,2,W_9_TrP_455_l2_0.1_lr_0.001,0.058399999999999994,0.0154,0.027800000000000002,0.060399999999999995,0.0786,0.0632,0.32347720861434937,0.7032374382019043,0.0,0.0065802735505448426,0.0008944271909999165,0.010401922899156675,0.0020736441353327744,0.0032093613071762462,0.009203260291874836
10,9,207,0.1,False,0.001,3,2,W_9_TrP_207_l2_0.1_lr_0.001,0.059199999999999996,0.0182,0.021200000000000004,0.0678,0.0738,0.048799999999999996,0.32052236199378964,0.6973854303359985,0.0,0.008288546314040843,0.0020493901531919195,0.00962808392152873,0.005805170109479994,0.004324349662087931,0.004764451699828641
2,2,207,0.1,False,0.001,3,2,W_2_TrP_207_l2_0.1_lr_0.001,0.063,0.017599999999999998,0.024399999999999998,0.067,0.0726,0.051000000000000004,0.41862271428108216,0.6995174288749695,0.0,0.008746427842267951,0.0011401754250991364,0.013939153489362258,0.003674234614174769,0.0018165902124584938,0.008124038404635962
11,9,207,1.0,False,0.001,3,2,W_9_TrP_207_l2_1.0_lr_0.001,0.0644,0.02,0.03,0.0744,0.078,0.057600000000000005,0.31374266743659973,0.6847709059715271,0.0,0.00709224929059886,0.0017320508075688772,0.011683321445547923,0.005366563145999498,0.0058309518948452994,0.009289779329994878
3,2,207,1.0,False,0.001,3,2,W_2_TrP_207_l2_1.0_lr_0.001,0.06520000000000001,0.019200000000000002,0.0248,0.0722,0.093,0.054400000000000004,0.38639516234397886,0.6678577423095703,0.0,0.012735776379946382,0.0021679483388678806,0.008167006795638166,0.006418722614352483,0.024361855430159673,0.0044497190922573975
