,weight_physic,Trainable_Params,l2,ode_int,lr,hidden_size,num_layer,x_axis,validation_rMSE,train_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,n_split,validation_rMSE_std,train_rMSE_std,test_rMSE_std,train_shapeDTW_std,validation_shapeDTW_std,test_shapeDTW_std
4,2,215,0.1,False,0.001,5,1,W_2_TrP_215_l2_0.1_lr_0.001,0.033600000000000005,0.0178,0.05960000000000001,0.06899999999999999,0.0856,0.0696,0.4107394516468048,0.7019216656684876,0.0,0.0019493588689617912,0.0010954451150103313,0.01824280680158621,0.004582575694955837,0.0015165750888103055,0.0045607017003965475
1,2,111,1.0,False,0.001,3,1,W_2_TrP_111_l2_1.0_lr_0.001,0.0344,0.019,0.058199999999999995,0.0718,0.09040000000000001,0.0728,0.35606799125671384,0.6489463686943054,0.0,0.0032093613071762415,0.00122474487139159,0.0030331501776206184,0.003633180424916985,0.005770615218501405,0.008378544026261366
9,9,111,1.0,False,0.001,3,1,W_9_TrP_111_l2_1.0_lr_0.001,0.0346,0.0194,0.0578,0.0716,0.0898,0.0708,0.2986851930618286,0.6835274815559387,0.0,0.0034351128074635337,0.00151657508881031,0.0038987177379235854,0.0032093613071762384,0.003962322551231791,0.005630275304103695
13,9,215,1.0,False,0.001,5,1,W_9_TrP_215_l2_1.0_lr_0.001,0.0354,0.0178,0.05700000000000001,0.0666,0.08399999999999999,0.06999999999999999,0.3118212878704071,0.6951290130615234,0.0,0.007300684899377588,0.0027748873851023217,0.009924716620639602,0.006228964600958977,0.007582875444051551,0.013874436925511607
0,2,111,0.1,False,0.001,3,1,W_2_TrP_111_l2_0.1_lr_0.001,0.0366,0.019,0.05739999999999999,0.0706,0.08120000000000001,0.07,0.41016397476196287,0.6771129965782166,0.0,0.007503332592921626,0.0024494897427831783,0.0061886993787063195,0.0063482280992415525,0.005449770637375482,0.008602325267042632
5,2,215,1.0,False,0.001,5,1,W_2_TrP_215_l2_1.0_lr_0.001,0.0378,0.016800000000000002,0.0548,0.0632,0.0858,0.0708,0.3863556861877441,0.6805719614028931,0.0,0.004816637831516913,0.0014832396974191332,0.008318653737234168,0.004381780460041331,0.007155417527999327,0.012716131487209462
8,9,111,0.1,False,0.001,3,1,W_9_TrP_111_l2_0.1_lr_0.001,0.0378,0.0178,0.054200000000000005,0.06720000000000001,0.082,0.0674,0.31711410880088803,0.6863881349563599,0.0,0.009148770409186142,0.001923538406167135,0.010134100848126586,0.00432434966208793,0.005147815070493504,0.010945318634009703
12,9,215,0.1,False,0.001,5,1,W_9_TrP_215_l2_0.1_lr_0.001,0.0378,0.016399999999999998,0.0506,0.0632,0.086,0.067,0.3191835403442383,0.6977759599685669,0.0,0.008348652585896722,0.0015165750888103096,0.008905054744357275,0.0058051701094799955,0.009137833441248527,0.0067453687816160235
3,2,207,1.0,False,0.001,3,2,W_2_TrP_207_l2_1.0_lr_0.001,0.0434,0.0206,0.06620000000000001,0.07039999999999999,0.0898,0.0716,0.38190354108810426,0.6768931388854981,0.0,0.008820430828479978,0.00920869154657707,0.01790809872655386,0.012759310326189263,0.007259476565152617,0.005941380311005177
6,2,455,0.1,False,0.001,5,2,W_2_TrP_455_l2_0.1_lr_0.001,0.0444,0.014000000000000002,0.054000000000000006,0.05600000000000001,0.0936,0.08259999999999999,0.41208441853523253,0.7109864115715027,0.0,0.0028809720581775876,0.0007071067811865474,0.017334935823359713,0.0031622776601683794,0.007829431652425355,0.006024948132556824
7,2,455,1.0,False,0.001,5,2,W_2_TrP_455_l2_1.0_lr_0.001,0.0494,0.0154,0.05600000000000001,0.061,0.09459999999999999,0.0718,0.4011015295982361,0.6995705842971802,0.0,0.012561846997953766,0.0024083189157584587,0.00997496867163,0.007314369419163899,0.006949820141557622,0.011649034294738772
14,9,455,0.1,False,0.001,5,2,W_9_TrP_455_l2_0.1_lr_0.001,0.0496,0.014199999999999999,0.0474,0.055400000000000005,0.0922,0.08180000000000001,0.3196013808250427,0.7138051271438599,0.0,0.007987490219086346,0.0008366600265340751,0.011928956366757316,0.00403732584763727,0.007596051605933179,0.009549869109050656
2,2,207,0.1,False,0.001,3,2,W_2_TrP_207_l2_0.1_lr_0.001,0.05,0.016599999999999997,0.0518,0.0648,0.0872,0.0696,0.408925861120224,0.7050938606262207,0.0,0.010977249200050075,0.0013416407864998725,0.013809417076763232,0.003701351104664351,0.012437845472588891,0.00698569967862919
10,9,207,0.1,False,0.001,3,2,W_9_TrP_207_l2_0.1_lr_0.001,0.0502,0.016800000000000002,0.048,0.0656,0.08320000000000001,0.0608,0.31538804173469537,0.7076499342918396,0.0,0.00454972526643093,0.0008366600265340752,0.011445523142259596,0.0026076809620810618,0.003898717737923585,0.006016643582596531
15,9,455,1.0,False,0.001,5,2,W_9_TrP_455_l2_1.0_lr_0.001,0.0502,0.016,0.056600000000000004,0.0622,0.093,0.071,0.31605574488639826,0.7074548006057739,0.0,0.013935566009315873,0.0012247448713915894,0.007829431652425355,0.00438178046004133,0.00830662386291808,0.010606601717798213
11,9,207,1.0,False,0.001,3,2,W_9_TrP_207_l2_1.0_lr_0.001,0.054200000000000005,0.0168,0.0566,0.06620000000000001,0.0884,0.0668,0.3084499239921569,0.6972698092460632,0.0,0.002774887385102322,0.0013038404810405304,0.012300406497347968,0.004147288270665548,0.0032093613071762415,0.004207136793592526
