,ymax,r,data_loss,physic_loss
0,0.921634333860129,0.0876362708191764,0.6717204451560974,0.6717204451560974
1,0.9218423411112188,0.08663789369992818,0.671670138835907,0.671670138835907
2,0.9220461689680604,0.08564036531891199,0.6716197729110718,0.6716197729110718
3,0.9222457128819975,0.08464424467837005,0.6715695261955261,0.6715695261955261
4,0.9224408785755417,0.0836500944164042,0.6715193390846252,0.6715193390846252
5,0.9226315823349763,0.08265847891515592,0.6714692115783691,0.6714692115783691
6,0.9228177512179115,0.08166996237487274,0.6714191436767578,0.6714191436767578
7,0.9229993232081459,0.08068510688854512,0.671369194984436,0.671369194984436
8,0.9231762473065385,0.07970447051080837,0.6713192462921143,0.6713192462921143
9,0.9233484835366733,0.07872860535965916,0.671269416809082,0.671269416809082
10,0.9235160028736001,0.07775805574768976,0.6712197661399841,0.6712197065353394
11,0.9236787871081803,0.07679335639349771,0.671170175075531,0.6711701154708862
12,0.9238368286470274,0.07583503065863387,0.6711207032203674,0.6711207032203674
13,0.9239901302467121,0.07488358892655364,0.6710712909698486,0.6710712909698486
14,0.9241387046910298,0.07393952703545188,0.6710219979286194,0.6710219979286194
15,0.9242825744216874,0.07300332481181084,0.6709728240966797,0.6709728240966797
16,0.9244217711189934,0.07207544474198374,0.6709237694740295,0.6709237694740295
17,0.9245563352262188,0.07115633075431396,0.6708747148513794,0.6708747148513794
18,0.9246863154509847,0.07024640720379367,0.6708258986473083,0.6708258986473083
19,0.9248117682329304,0.06934607792597303,0.6707772016525269,0.6707772016525269
20,0.9249327571858659,0.06845572545906357,0.6707285642623901,0.6707285642623901
21,0.9250493525211322,0.06757571046488091,0.6706799268722534,0.6706799268722534
22,0.925161630455604,0.06670637127821932,0.670631468296051,0.670631468296051
23,0.9252696726150961,0.06584802361154118,0.6705830097198486,0.6705830097198486
24,0.9253735654404405,0.06500096041952774,0.6705347895622253,0.6705347895622253
25,0.9254733996060551,0.0641654518324097,0.670486330986023,0.6704862713813782
26,0.9255692694443426,0.0633417452714266,0.6704381704330444,0.6704381704330444
27,0.9256612723980332,0.06253006561744678,0.6703900098800659,0.6703900098800659
28,0.9257495084899867,0.06173061547602319,0.6703418493270874,0.6703418493270874
29,0.9258340798243808,0.060943575474285964,0.6702938079833984,0.6702938079833984
30,0.9259150901046731,0.060169104699587306,0.670245885848999,0.670245885848999
31,0.9259926441907437,0.05940734111934044,0.6701979041099548,0.6701979041099548
32,0.9260668476757048,0.05865840210120862,0.6701499819755554,0.6701499819755554
33,0.926137806494234,0.05792238498242858,0.6701022386550903,0.6701022386550903
34,0.9262056265574201,0.05719936767795516,0.6700544357299805,0.6700544357299805
35,0.9262704134119453,0.05648940936356222,0.6700068116188049,0.6700068116188049
36,0.9263322719318722,0.055792551154674956,0.6699591279029846,0.6699591279029846
37,0.9263913060348495,0.05510881683548454,0.6699116230010986,0.6699116230010986
38,0.9264476184236244,0.054438213638444345,0.6698640584945679,0.6698640584945679
39,0.9265013103561751,0.05378073301154269,0.6698166131973267,0.6698166131973267
40,0.9265524814405386,0.05313635139510341,0.669769287109375,0.669769287109375
41,0.9266012294501138,0.05250503106626785,0.6697219610214233,0.6697219610214233
42,0.9266476501666238,0.05188672091744943,0.669674813747406,0.669674813747406
43,0.9266918372436183,0.05128135726032884,0.6696276664733887,0.6696276664733887
44,0.9267338820901516,0.05068886463986265,0.6695806980133057,0.6695806980133057
45,0.9267738737731528,0.050109156631511984,0.6695337295532227,0.6695337295532227
46,0.9268118989391206,0.04954213663173938,0.6694868206977844,0.6694868206977844
47,0.9268480417539672,0.04898769860012432,0.6694400310516357,0.6694400310516357
48,0.926882383856088,0.04844572784176978,0.6693932414054871,0.6693932414054871
49,0.9269150043258302,0.04791610171438632,0.6693466305732727,0.6693466305732727
50,0.9269459796686337,0.047398690330247774,0.6693000793457031,0.6693000793457031
51,0.9269753838082978,0.04689335723542735,0.6692535281181335,0.6692535281181335
52,0.9270032880921988,0.04639996007835062,0.6692072153091431,0.6692072153091431
53,0.9270297613054143,0.045918351246992374,0.6691608428955078,0.6691608428955078
54,0.9270548696968083,0.04544837842533384,0.6691145896911621,0.6691145896911621
55,0.9270786770076479,0.0449898852137013,0.6690683960914612,0.6690683960914612
56,0.927101244511443,0.04454271164129772,0.6690224409103394,0.6690224409103394
57,0.9271226310575408,0.044106694682805835,0.668976366519928,0.668976366519928
58,0.9271428931199498,0.04368166875710224,0.6689304709434509,0.6689304709434509
59,0.9271620848509993,0.04326746616469699,0.6688844561576843,0.6688844561576843
60,0.9271802581373056,0.042863917549189424,0.6688386797904968,0.6688386797904968
61,0.9271974626603804,0.04247085228046653,0.6687930226325989,0.6687930226325989
62,0.9272137459581813,0.042088098836890304,0.6687473654747009,0.6687473654747009
