,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,3,3,1,2,111,1520,0.047,0.066,0.1,0.151,0.162,0.073,0.34349325299263,0.7882254123687744,,False,1.0,294
0,0.001,0,4,3,1,2,111,2810,0.04,0.062,0.091,0.132,0.136,0.093,0.3372417390346527,0.8186218738555908,,False,1.0,294
0,0.001,0,5,3,1,2,111,2420,0.038,0.062,0.092,0.127,0.133,0.086,0.3378000557422638,0.8144972324371338,,False,1.0,294
0,0.001,0,1,3,1,2,111,2480,0.031,0.085,0.052,0.107,0.185,0.133,0.3459838628768921,0.7213426232337952,,False,1.0,2
0,0.001,0,2,3,1,2,111,2850,0.034,0.097,0.047,0.12,0.215,0.119,0.3441144526004791,0.7315065860748291,,False,1.0,2
0,0.001,0,3,3,1,2,111,1820,0.036,0.09,0.058,0.125,0.21,0.124,0.3476795554161072,0.718477725982666,,False,1.0,2
0,0.001,0,4,3,1,2,111,1690,0.034,0.078,0.059,0.118,0.175,0.138,0.3455392122268677,0.7344605326652527,,False,1.0,2
0,0.001,0,5,3,1,2,111,2320,0.031,0.08,0.055,0.109,0.186,0.122,0.3436296880245209,0.738099217414856,,False,1.0,2
0,0.001,0,1,3,1,2,111,2800,0.024,0.074,0.054,0.093,0.133,0.124,0.337832897901535,0.8070529699325562,,False,1.0,301
0,0.001,0,2,3,1,2,111,2910,0.029,0.083,0.049,0.109,0.165,0.122,0.3378399014472961,0.8074826002120972,,False,1.0,301
0,0.001,0,3,3,1,2,111,2590,0.033,0.074,0.06,0.118,0.16,0.121,0.3395147621631622,0.8015458583831787,,False,1.0,301
0,0.001,0,4,3,1,2,111,1550,0.03,0.07,0.058,0.108,0.149,0.138,0.3384996652603149,0.8081296682357788,,False,1.0,301
0,0.001,0,5,3,1,2,111,1650,0.025,0.071,0.055,0.095,0.131,0.116,0.3382977545261383,0.8118947744369507,,False,1.0,301
0,0.001,0,1,3,1,9,111,2800,0.033,0.062,0.057,0.098,0.138,0.097,0.2775977551937103,0.817441463470459,,False,1.0,302
0,0.001,0,2,3,1,9,111,2580,0.04,0.076,0.047,0.118,0.164,0.091,0.2793702781200409,0.8150672316551208,,False,1.0,302
0,0.001,0,3,3,1,9,111,1550,0.035,0.061,0.062,0.105,0.146,0.107,0.2780033648014068,0.8189970254898071,,False,1.0,302
0,0.001,0,4,3,1,9,111,1550,0.036,0.058,0.056,0.107,0.151,0.106,0.2789239287376404,0.8218022584915161,,False,1.0,302
0,0.001,0,5,3,1,9,111,1560,0.033,0.06,0.045,0.096,0.134,0.085,0.2782997488975525,0.8272486329078674,,False,1.0,302
0,0.001,0,1,3,1,2,111,1650,0.024,0.041,0.041,0.093,0.09,0.069,0.3418178260326385,0.7369583249092102,,False,1.0,30
