,133,133
0,0.00024877154,0.0
1,0.00024877154,0.0
2,0.00024877154,0.0
3,0.00024877154,0.0
4,0.00024877154,0.0
5,0.00024877154,0.0
6,0.00024877154,0.0
7,0.00024877154,0.0
8,0.00024877154,0.0
9,0.00024877154,0.0
10,0.00024877154,0.0
11,0.00024877154,0.0
12,0.00024877154,0.0
13,0.00024877154,0.0
14,0.00024877154,0.0
15,0.00024877154,0.0
16,0.00024877154,0.0018132504
17,0.00024877154,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.000624875
21,0.0,0.0
22,0.0,0.0
23,0.0,0.008118667
24,0.0,0.0
25,0.0021669453,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0041255346,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.008985293,0.0
37,0.0,0.0
38,0.010282664,0.0
39,0.0,0.0
40,0.022425387,0.0
41,0.0,0.0
42,0.0,0.007392225
43,0.03802459,0.0
44,0.0,0.0
45,0.04094504,0.0
46,0.0,0.0
47,0.069647335,0.0
48,0.0,0.00205811
49,0.0,0.0
50,0.0,0.0
51,0.09966833,0.0073154373
52,0.0,0.0
53,0.13606207,0.0073811808
54,0.14801194,0.0
55,0.0,0.0
56,0.0,0.006929117
57,0.21805823,0.0
58,0.0,0.009844535
59,0.0,0.0
60,0.26458126,0.0
61,0.23810008,0.022368483
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.32102495,0.06053303
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.10288568
70,0.0,0.0
71,0.35609436,0.0
72,0.0,0.1113009
73,0.40677565,0.0
74,0.0,0.0
75,0.4123541,0.1012204
76,0.0,0.0
77,0.0,0.0
78,0.46254313,0.15330571
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.49455953,0.21053314
83,0.0,0.0
84,0.0,0.0
85,0.50447947,0.0
86,0.0,0.0
87,0.5666437,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.28489998
92,0.66098946,0.0
93,0.0,0.0
94,0.6798371,0.0
95,0.0,0.0
96,0.7228849,0.0
97,0.0,0.33916533
98,0.0,0.0
99,0.7321149,0.0
100,0.0,0.0
101,0.0,0.0
102,0.7519281,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.4375672
106,0.7706363,0.0
107,0.0,0.4555451
108,0.0,0.0
109,0.7512144,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.5161083
114,0.0,0.0
115,0.0,0.0
116,0.0,0.5987725
117,0.0,0.58586
118,0.7796938,0.0
119,0.0,0.6243269
120,0.75745237,0.61430645
121,0.0,0.0
122,0.73602587,0.61405265
123,0.0,0.0
124,0.7649681,0.66284347
125,0.0,0.0
126,0.0,0.67246664
127,0.77020156,0.0
128,0.0,0.70597816
129,0.75828445,0.0
130,0.0,0.7567997
131,0.0,0.0
132,0.0,0.0
133,0.0,0.7480328
134,0.0,0.0
135,0.0,0.7875968
136,0.0,0.0
137,0.0,0.0
138,0.0,0.7803071
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.8100586
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.81856334
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.81788445
155,0.0,0.0
156,0.0,0.82592535
157,0.0,0.0
158,0.0,0.0
159,0.0,0.99528277
160,0.0,0.0
161,0.0,0.8179809
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
