,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,0,111,1550,0.021,0.04,0.056,0.074,0.082,0.063,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,3,1,0,111,2910,0.016,0.029,0.069,0.059,0.085,0.063,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,3,1,0,111,1660,0.017,0.031,0.061,0.068,0.092,0.084,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,3,1,0,111,2200,0.031,0.026,0.048,0.092,0.087,0.091,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,3,1,0,111,2390,0.019,0.039,0.067,0.066,0.102,0.078,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,3,2,0,207,2280,0.025,0.044,0.061,0.079,0.085,0.068,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,3,2,0,207,1990,0.017,0.046,0.054,0.066,0.091,0.059,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,3,2,0,207,2990,0.016,0.035,0.062,0.062,0.093,0.07,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,3,2,0,207,1510,0.015,0.049,0.027,0.06,0.086,0.073,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,3,2,0,207,2030,0.017,0.06,0.055,0.067,0.089,0.065,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,5,1,0,215,2720,0.013,0.035,0.067,0.05,0.099,0.083,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,5,1,0,215,2690,0.018,0.03,0.114,0.069,0.08,0.063,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,5,1,0,215,1530,0.039,0.024,0.094,0.084,0.071,0.066,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,5,1,0,215,2750,0.024,0.036,0.108,0.081,0.079,0.069,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,5,1,0,215,2880,0.016,0.026,0.062,0.063,0.082,0.057,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,5,2,0,455,1540,0.015,0.028,0.061,0.059,0.078,0.072,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,5,2,0,455,2920,0.016,0.036,0.09,0.063,0.085,0.068,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,5,2,0,455,1930,0.021,0.052,0.083,0.077,0.087,0.069,0.1000000014901161,0.800000011920929,,False,1.0
