,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,0,111,1540,0.046,0.061,0.086,0.124,0.139,0.092,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,3,1,0,111,1930,0.033,0.063,0.055,0.097,0.127,0.07,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,3,1,0,111,2490,0.034,0.044,0.066,0.101,0.127,0.084,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,3,1,0,111,2720,0.037,0.148,0.112,0.117,0.141,0.152,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,3,1,0,111,1760,0.034,0.052,0.069,0.104,0.123,0.1,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,3,2,0,207,2490,0.045,0.061,0.067,0.117,0.131,0.07,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,3,2,0,207,1630,0.033,0.091,0.058,0.097,0.133,0.074,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,3,2,0,207,1880,0.033,0.085,0.068,0.1,0.116,0.079,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,3,2,0,207,2530,0.027,0.085,0.047,0.086,0.124,0.074,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,3,2,0,207,1600,0.052,0.05,0.104,0.111,0.134,0.084,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,5,1,0,215,2080,0.028,0.065,0.018,0.092,0.139,0.059,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,5,1,0,215,2530,0.031,0.054,0.06,0.097,0.132,0.082,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,5,1,0,215,1640,0.04,0.085,0.059,0.118,0.14,0.082,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,5,1,0,215,2430,0.056,0.073,0.093,0.149,0.153,0.103,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,5,1,0,215,2100,0.066,0.078,0.099,0.191,0.211,0.155,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,5,2,0,455,2260,0.031,0.068,0.054,0.098,0.129,0.084,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,5,2,0,455,1650,0.032,0.077,0.098,0.099,0.119,0.071,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,5,2,0,455,1950,0.029,0.103,0.022,0.09,0.118,0.057,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,5,2,0,455,2380,0.029,0.034,0.132,0.091,0.106,0.073,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,5,2,0,455,2180,0.03,0.135,0.033,0.093,0.197,0.079,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,3,1,0,111,1540,0.046,0.061,0.086,0.124,0.139,0.092,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,3,1,0,111,1930,0.033,0.063,0.055,0.097,0.127,0.07,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,3,1,0,111,2490,0.034,0.044,0.066,0.101,0.127,0.084,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,3,1,0,111,2720,0.037,0.148,0.112,0.117,0.141,0.152,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,3,1,0,111,1760,0.034,0.052,0.069,0.104,0.123,0.1,0.1000000014901161,0.800000011920929,,False,0.1
