,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,2,111,2900,0.023,0.082,0.069,0.09,0.158,0.074,0.3425477743148803,0.7618540525436401,,False,1.0
0,0.001,0,2,3,1,2,111,2170,0.028,0.09,0.074,0.11,0.191,0.065,0.3435873687267303,0.7592054009437561,,False,1.0
0,0.001,0,3,3,1,2,111,1910,0.03,0.083,0.086,0.113,0.186,0.064,0.3463203310966491,0.7484329342842102,,False,1.0
0,0.001,0,4,3,1,2,111,1600,0.027,0.071,0.079,0.106,0.158,0.078,0.3432322442531585,0.7681509852409363,,False,1.0
0,0.001,0,5,3,1,2,111,1550,0.025,0.079,0.079,0.096,0.156,0.065,0.3438379466533661,0.7633037567138672,,False,1.0
0,0.001,0,1,3,1,9,111,2640,0.023,0.084,0.069,0.092,0.156,0.073,0.2834177613258362,0.7965653538703918,,False,1.0
0,0.001,0,2,3,1,9,111,2470,0.028,0.093,0.072,0.109,0.19,0.062,0.2817884683609009,0.8030616044998169,,False,1.0
0,0.001,0,3,3,1,9,111,2640,0.028,0.085,0.083,0.106,0.177,0.065,0.2840597629547119,0.8005484342575073,,False,1.0
0,0.001,0,4,3,1,9,111,1560,0.028,0.072,0.079,0.107,0.158,0.078,0.2834243178367615,0.8097801804542542,,False,1.0
0,0.001,0,5,3,1,9,111,1630,0.024,0.08,0.078,0.094,0.155,0.065,0.2837150692939758,0.8070045709609985,,False,1.0
0,0.001,0,1,3,2,2,207,1710,0.026,0.104,0.079,0.102,0.176,0.07,0.3671046495437622,0.7994779348373413,,False,1.0
0,0.001,0,2,3,2,2,207,1500,0.024,0.159,0.097,0.092,0.182,0.079,0.374328464269638,0.8038171529769897,,False,1.0
0,0.001,0,3,3,2,2,207,1640,0.025,0.111,0.072,0.095,0.181,0.066,0.3654934465885162,0.8017532825469971,,False,1.0
0,0.001,0,4,3,2,2,207,2270,0.024,0.111,0.066,0.091,0.17,0.066,0.3665172159671783,0.804430365562439,,False,1.0
0,0.001,0,5,3,2,2,207,1650,0.024,0.116,0.068,0.095,0.163,0.073,0.3681135475635528,0.8041775822639465,,False,1.0
0,0.001,0,1,3,2,9,207,1930,0.027,0.11,0.086,0.105,0.167,0.074,0.2915097773075104,0.8231551647186279,,False,1.0
0,0.001,0,2,3,2,9,207,2990,0.024,0.125,0.105,0.091,0.176,0.079,0.2998438477516174,0.8296464085578918,,False,1.0
0,0.001,0,3,3,2,9,207,1670,0.025,0.114,0.071,0.095,0.181,0.067,0.2872143089771271,0.8245731592178345,,False,1.0
0,0.001,0,4,3,2,9,207,2520,0.024,0.109,0.078,0.094,0.163,0.066,0.2894721329212188,0.8277712464332581,,False,1.0
0,0.001,0,5,3,2,9,207,1740,0.025,0.111,0.068,0.096,0.17,0.074,0.2929791212081909,0.8265318870544434,,False,1.0
0,0.001,0,1,5,1,2,215,2990,0.025,0.097,0.057,0.088,0.166,0.065,0.3681338429450989,0.8110655546188354,,False,1.0
0,0.001,0,2,5,1,2,215,2990,0.025,0.106,0.067,0.093,0.165,0.071,0.3716562986373901,0.8037447929382324,,False,1.0
