,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,2,111,2240,0.02,0.084,0.058,0.079,0.151,0.073,0.3372501134872436,0.795174777507782,,False,1.0
0,0.001,0,2,3,1,2,111,1590,0.037,0.098,0.04,0.12,0.193,0.099,0.3450524508953094,0.772673487663269,,False,1.0
0,0.001,0,3,3,1,2,111,1520,0.034,0.073,0.071,0.118,0.195,0.089,0.3444978296756744,0.764936089515686,,False,1.0
0,0.001,0,4,3,1,2,111,1560,0.024,0.074,0.06,0.088,0.182,0.092,0.3384827971458435,0.7881731986999512,,False,1.0
0,0.001,0,5,3,1,2,111,2050,0.025,0.071,0.044,0.083,0.165,0.073,0.3371509313583374,0.7944231629371643,,False,1.0
0,0.001,0,1,3,1,9,111,2450,0.024,0.078,0.078,0.089,0.166,0.085,0.2787587642669678,0.8166256546974182,,False,1.0
0,0.001,0,2,3,1,9,111,2770,0.035,0.142,0.044,0.108,0.182,0.094,0.2815168797969818,0.8311870098114014,,False,1.0
0,0.001,0,3,3,1,9,111,1530,0.024,0.072,0.075,0.093,0.174,0.097,0.2769785821437835,0.8309902548789978,,False,1.0
0,0.001,0,4,3,1,9,111,1760,0.024,0.073,0.062,0.089,0.186,0.089,0.2765807509422302,0.8340346813201904,,False,1.0
0,0.001,0,5,3,1,9,111,1680,0.023,0.077,0.064,0.084,0.162,0.078,0.2775193750858307,0.8359291553497314,,False,1.0
0,0.001,0,1,3,2,2,207,1680,0.025,0.115,0.072,0.091,0.176,0.086,0.3622235357761383,0.8241123557090759,,False,1.0
0,0.001,0,2,3,2,2,207,1650,0.033,0.203,0.071,0.087,0.214,0.119,0.3619387447834015,0.8278343081474304,,False,1.0
0,0.001,0,3,3,2,2,207,1570,0.031,0.112,0.054,0.086,0.191,0.082,0.3601989150047302,0.8271633386611938,,False,1.0
0,0.001,0,4,3,2,2,207,2750,0.025,0.111,0.018,0.075,0.171,0.058,0.3590156137943268,0.8342567086219788,,False,1.0
0,0.001,0,5,3,2,2,207,2200,0.029,0.106,0.037,0.076,0.134,0.078,0.3647752702236175,0.8365774154663086,,False,1.0
0,0.001,0,1,3,2,9,207,2970,0.022,0.11,0.075,0.083,0.176,0.083,0.2826822400093078,0.8549167513847351,,False,1.0
0,0.001,0,2,3,2,9,207,1500,0.029,0.14,0.108,0.088,0.168,0.11,0.2907847762107849,0.8511903285980225,,False,1.0
