,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,2,111,2480,0.031,0.085,0.052,0.107,0.185,0.133,0.3459838628768921,0.7213426232337952,,False,1.0
0,0.001,0,2,3,1,2,111,2850,0.034,0.097,0.047,0.12,0.215,0.119,0.3441144526004791,0.7315065860748291,,False,1.0
0,0.001,0,3,3,1,2,111,1820,0.036,0.09,0.058,0.125,0.21,0.124,0.3476795554161072,0.718477725982666,,False,1.0
0,0.001,0,4,3,1,2,111,1690,0.034,0.078,0.059,0.118,0.175,0.138,0.3455392122268677,0.7344605326652527,,False,1.0
0,0.001,0,5,3,1,2,111,2320,0.031,0.08,0.055,0.109,0.186,0.122,0.3436296880245209,0.738099217414856,,False,1.0
0,0.001,0,1,3,1,9,111,2930,0.031,0.086,0.053,0.107,0.179,0.13,0.2844930589199066,0.76474928855896,,False,1.0
0,0.001,0,2,3,1,9,111,2960,0.034,0.097,0.05,0.123,0.214,0.119,0.2825808823108673,0.7717393040657043,,False,1.0
0,0.001,0,3,3,1,9,111,2140,0.035,0.089,0.06,0.119,0.201,0.125,0.2867188453674316,0.7654358148574829,,False,1.0
0,0.001,0,4,3,1,9,111,1580,0.035,0.079,0.059,0.118,0.176,0.14,0.2858633697032928,0.7729703187942505,,False,1.0
0,0.001,0,5,3,1,9,111,2750,0.031,0.08,0.055,0.108,0.183,0.121,0.2822276949882507,0.7796133756637573,,False,1.0
0,0.001,0,1,3,2,2,207,1910,0.033,0.098,0.051,0.117,0.189,0.131,0.3694896996021271,0.7690796852111816,,False,1.0
0,0.001,0,2,3,2,2,207,2950,0.033,0.123,0.069,0.111,0.191,0.145,0.3702329695224762,0.7733421921730042,,False,1.0
0,0.001,0,3,3,2,2,207,2740,0.032,0.116,0.041,0.107,0.21,0.116,0.3655613958835602,0.7733169198036194,,False,1.0
0,0.001,0,4,3,2,2,207,2800,0.031,0.11,0.043,0.103,0.193,0.116,0.3672569096088409,0.7721942663192749,,False,1.0
0,0.001,0,5,3,2,2,207,1590,0.032,0.112,0.053,0.108,0.168,0.133,0.3708615303039551,0.7696489691734314,,False,1.0
0,0.001,0,1,3,2,9,207,1580,0.032,0.109,0.06,0.115,0.204,0.13,0.2910842895507812,0.7883428335189819,,False,1.0
0,0.001,0,2,3,2,9,207,2200,0.033,0.114,0.077,0.116,0.191,0.15,0.2999386191368103,0.7921650409698486,,False,1.0
0,0.001,0,3,3,2,9,207,2060,0.032,0.117,0.048,0.11,0.207,0.125,0.2880618870258331,0.7918528318405151,,False,1.0
0,0.001,0,4,3,2,9,207,2060,0.032,0.097,0.056,0.111,0.178,0.135,0.294351190328598,0.7890046238899231,,False,1.0
0,0.001,0,5,3,2,9,207,1500,0.032,0.108,0.054,0.112,0.185,0.143,0.2976618409156799,0.7907984852790833,,False,1.0
0,0.001,0,1,5,1,2,215,1530,0.032,0.093,0.05,0.109,0.188,0.122,0.3693273365497589,0.7752501368522644,,False,1.0
0,0.001,0,2,5,1,2,215,2910,0.032,0.092,0.057,0.112,0.187,0.137,0.3730050921440124,0.7690064907073975,,False,1.0
0,0.001,0,3,5,1,2,215,2690,0.034,0.097,0.05,0.12,0.204,0.114,0.3711702823638916,0.772838830947876,,False,1.0
0,0.001,0,4,5,1,2,215,2910,0.032,0.093,0.062,0.111,0.172,0.125,0.371659904718399,0.7763031721115112,,False,1.0
0,0.001,0,5,5,1,2,215,1800,0.031,0.079,0.063,0.102,0.188,0.137,0.3722231984138489,0.7773294448852539,,False,1.0
0,0.001,0,1,5,1,9,215,1640,0.033,0.094,0.056,0.114,0.187,0.126,0.2925149202346802,0.7959617376327515,,False,1.0
0,0.001,0,2,5,1,9,215,2660,0.032,0.096,0.059,0.112,0.187,0.134,0.2952235639095306,0.787585437297821,,False,1.0
0,0.001,0,3,5,1,9,215,2180,0.035,0.094,0.053,0.123,0.203,0.116,0.2922046780586242,0.7914238572120667,,False,1.0
0,0.001,0,4,5,1,9,215,1650,0.032,0.099,0.053,0.111,0.195,0.122,0.2962808012962341,0.7942808270454407,,False,1.0
0,0.001,0,5,5,1,9,215,1960,0.031,0.08,0.063,0.107,0.19,0.138,0.2953285574913025,0.7948912978172302,,False,1.0
0,0.001,0,1,5,2,2,455,2020,0.031,0.112,0.058,0.107,0.188,0.163,0.3902584016323089,0.7888444662094116,,False,1.0
0,0.001,0,2,5,2,2,455,2960,0.032,0.169,0.091,0.111,0.196,0.156,0.3894507586956024,0.7898984551429749,,False,1.0
0,0.001,0,3,5,2,2,455,1640,0.03,0.083,0.038,0.104,0.171,0.106,0.3835332691669464,0.8027781844139099,,False,1.0
0,0.001,0,4,5,2,2,455,2630,0.031,0.085,0.05,0.11,0.176,0.121,0.386559396982193,0.795051634311676,,False,1.0
0,0.001,0,5,5,2,2,455,2480,0.038,0.091,0.064,0.122,0.189,0.137,0.385908842086792,0.798885703086853,,False,1.0
0,0.001,0,1,5,2,9,455,1640,0.032,0.122,0.072,0.111,0.189,0.147,0.300606220960617,0.8077735900878906,,False,1.0
0,0.001,0,2,5,2,9,455,2970,0.033,0.122,0.052,0.105,0.206,0.124,0.2982468605041504,0.7990549802780151,,False,1.0
0,0.001,0,3,5,2,9,455,1600,0.03,0.093,0.04,0.104,0.174,0.117,0.2984234988689422,0.8118537664413452,,False,1.0
0,0.001,0,4,5,2,9,455,2020,0.031,0.089,0.053,0.109,0.165,0.127,0.2965210974216461,0.8017467856407166,,False,1.0
0,0.001,0,5,5,2,9,455,1520,0.032,0.091,0.058,0.11,0.176,0.133,0.2982909381389618,0.8024026155471802,,False,1.0
0,0.001,0,1,3,1,2,111,2990,0.03,0.1,0.064,0.106,0.163,0.121,0.3982612192630768,0.7615690231323242,,False,0.1
0,0.001,0,2,3,1,2,111,1710,0.036,0.096,0.051,0.125,0.201,0.12,0.3938198983669281,0.7882450222969055,,False,0.1
