,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,2,111,2110,0.02,0.036,0.056,0.075,0.091,0.072,0.3550902903079986,0.6255306601524353,,False,1.0
0,0.001,0,2,3,1,2,111,1520,0.022,0.064,0.038,0.077,0.101,0.059,0.3525519073009491,0.6530038714408875,,False,1.0
0,0.001,0,3,3,1,2,111,1590,0.025,0.028,0.05,0.089,0.077,0.059,0.3550741076469421,0.6273773908615112,,False,1.0
0,0.001,0,4,3,1,2,111,1590,0.021,0.036,0.051,0.08,0.095,0.07,0.3513135313987732,0.6549302935600281,,False,1.0
0,0.001,0,5,3,1,2,111,2500,0.026,0.029,0.024,0.083,0.083,0.061,0.35258948802948,0.6328009366989136,,False,1.0
0,0.001,0,1,3,1,9,111,1920,0.02,0.035,0.057,0.076,0.089,0.07,0.2975611090660095,0.6500228643417358,,False,1.0
0,0.001,0,2,3,1,9,111,1580,0.022,0.065,0.041,0.077,0.098,0.061,0.2945488095283508,0.6886969804763794,,False,1.0
0,0.001,0,3,3,1,9,111,1530,0.024,0.028,0.049,0.088,0.079,0.058,0.2966358065605163,0.6561450958251953,,False,1.0
0,0.001,0,4,3,1,9,111,1610,0.021,0.036,0.052,0.08,0.096,0.068,0.2923400998115539,0.6892030239105225,,False,1.0
0,0.001,0,5,3,1,9,111,2930,0.027,0.03,0.044,0.089,0.083,0.06,0.2922016680240631,0.6683862209320068,,False,1.0
0,0.001,0,1,3,2,2,207,1510,0.019,0.041,0.044,0.074,0.094,0.066,0.3762466609477997,0.6767260432243347,,False,1.0
0,0.001,0,2,3,2,2,207,1590,0.025,0.071,0.077,0.08,0.08,0.087,0.3764139115810394,0.669907808303833,,False,1.0
0,0.001,0,3,3,2,2,207,2580,0.026,0.043,0.043,0.077,0.09,0.064,0.3745817542076111,0.678290605545044,,False,1.0
0,0.001,0,4,3,2,2,207,2610,0.022,0.044,0.017,0.067,0.102,0.056,0.3758739531040191,0.6777667999267578,,False,1.0
0,0.001,0,5,3,2,2,207,2960,0.024,0.044,0.03,0.074,0.089,0.065,0.3743796050548553,0.6787851452827454,,False,1.0
0,0.001,0,1,3,2,9,207,1660,0.02,0.046,0.059,0.077,0.09,0.067,0.3016711175441742,0.6919569373130798,,False,1.0
0,0.001,0,2,3,2,9,207,1610,0.023,0.086,0.087,0.079,0.095,0.087,0.309499591588974,0.6877322793006897,,False,1.0
0,0.001,0,3,3,2,9,207,2260,0.025,0.045,0.047,0.078,0.09,0.065,0.2972844243049621,0.6963223218917847,,False,1.0
0,0.001,0,4,3,2,9,207,2540,0.02,0.047,0.022,0.067,0.099,0.057,0.299480676651001,0.6941890716552734,,False,1.0
0,0.001,0,5,3,2,9,207,1600,0.021,0.053,0.047,0.075,0.09,0.062,0.3002553284168243,0.6979418992996216,,False,1.0
0,0.001,0,1,5,1,2,215,1500,0.029,0.049,0.025,0.079,0.082,0.066,0.3759408891201019,0.6868129372596741,,False,1.0
0,0.001,0,2,5,1,2,215,1770,0.02,0.043,0.053,0.074,0.093,0.074,0.3795382976531982,0.6798868179321289,,False,1.0
0,0.001,0,3,5,1,2,215,2890,0.022,0.039,0.028,0.076,0.088,0.062,0.381393700838089,0.677349865436554,,False,1.0
0,0.001,0,4,5,1,2,215,1790,0.024,0.039,0.036,0.073,0.081,0.06,0.3782616853713989,0.6855889558792114,,False,1.0
0,0.001,0,5,5,1,2,215,2970,0.024,0.035,0.055,0.066,0.101,0.094,0.3827894032001495,0.680482804775238,,False,1.0
0,0.001,0,1,5,1,9,215,1570,0.024,0.041,0.035,0.077,0.086,0.068,0.3008257746696472,0.7046096324920654,,False,1.0
0,0.001,0,2,5,1,9,215,2000,0.02,0.04,0.055,0.073,0.092,0.075,0.3011823296546936,0.6973432302474976,,False,1.0
0,0.001,0,3,5,1,9,215,1930,0.024,0.035,0.039,0.085,0.081,0.057,0.3051379024982452,0.6948307752609253,,False,1.0
0,0.001,0,4,5,1,9,215,1520,0.026,0.046,0.04,0.07,0.08,0.062,0.3004147410392761,0.7033166289329529,,False,1.0
0,0.001,0,5,5,1,9,215,1500,0.019,0.043,0.03,0.074,0.103,0.076,0.3088411092758178,0.7001042366027832,,False,1.0
0,0.001,0,1,5,2,2,455,1500,0.03,0.084,0.06,0.078,0.075,0.086,0.3910108804702759,0.6961798071861267,,False,1.0
0,0.001,0,2,5,2,2,455,1620,0.03,0.067,0.047,0.079,0.088,0.064,0.3943807184696197,0.6890895962715149,,False,1.0
0,0.001,0,3,5,2,2,455,1500,0.024,0.035,0.028,0.069,0.097,0.067,0.3880257904529571,0.7058591246604919,,False,1.0
0,0.001,0,4,5,2,2,455,2970,0.023,0.043,0.023,0.069,0.101,0.06,0.3943763375282287,0.6952674984931946,,False,1.0
0,0.001,0,5,5,2,2,455,1510,0.017,0.051,0.067,0.061,0.103,0.083,0.3931439220905304,0.7013824582099915,,False,1.0
0,0.001,0,1,5,2,9,455,1570,0.023,0.08,0.084,0.074,0.083,0.089,0.306913673877716,0.7012473344802856,,False,1.0
0,0.001,0,2,5,2,9,455,2050,0.029,0.068,0.048,0.079,0.084,0.064,0.3072169125080108,0.6985411643981934,,False,1.0
0,0.001,0,3,5,2,9,455,1540,0.023,0.035,0.019,0.071,0.096,0.059,0.3019144535064697,0.7124847769737244,,False,1.0
0,0.001,0,4,5,2,9,455,1530,0.021,0.045,0.03,0.068,0.103,0.066,0.3071022927761078,0.7029114961624146,,False,1.0
0,0.001,0,5,5,2,9,455,1500,0.017,0.05,0.07,0.063,0.103,0.082,0.308256447315216,0.7090732455253601,,False,1.0
0,0.001,0,1,3,1,2,111,1690,0.023,0.078,0.085,0.073,0.093,0.112,0.4067324101924896,0.6413361430168152,,False,0.1
0,0.001,0,2,3,1,2,111,1670,0.031,0.031,0.053,0.1,0.08,0.067,0.4041475355625152,0.665795087814331,,False,0.1
0,0.001,0,3,3,1,2,111,1560,0.022,0.032,0.057,0.082,0.081,0.058,0.4022089838981628,0.6825742125511169,,False,0.1
0,0.001,0,4,3,1,2,111,1640,0.019,0.035,0.057,0.076,0.099,0.067,0.3985848724842071,0.7088161110877991,,False,0.1
0,0.001,0,5,3,1,2,111,2840,0.026,0.029,0.029,0.075,0.081,0.085,0.4003386199474334,0.6886335015296936,,False,0.1
0,0.001,0,1,3,1,9,111,1510,0.023,0.075,0.084,0.072,0.092,0.109,0.3153050243854522,0.6484173536300659,,False,0.1
0,0.001,0,2,3,1,9,111,1500,0.028,0.079,0.036,0.074,0.089,0.055,0.310894638299942,0.7018014788627625,,False,0.1
0,0.001,0,3,3,1,9,111,1550,0.023,0.031,0.061,0.081,0.079,0.058,0.3122778236865997,0.6871247291564941,,False,0.1
0,0.001,0,4,3,1,9,111,1590,0.018,0.037,0.039,0.072,0.1,0.067,0.3091613948345184,0.7113465070724487,,False,0.1
0,0.001,0,5,3,1,9,111,1520,0.022,0.037,0.047,0.083,0.083,0.055,0.3112194538116455,0.6730027794837952,,False,0.1
0,0.001,0,1,3,2,2,207,1540,0.021,0.055,0.072,0.074,0.08,0.074,0.4022437036037445,0.7065052390098572,,False,0.1
0,0.001,0,2,3,2,2,207,2990,0.032,0.053,0.058,0.079,0.073,0.08,0.4080638587474823,0.7074329257011414,,False,0.1
0,0.001,0,3,3,2,2,207,1510,0.027,0.057,0.019,0.074,0.091,0.056,0.396777868270874,0.7093110084533691,,False,0.1
0,0.001,0,4,3,2,2,207,2990,0.026,0.043,0.022,0.072,0.09,0.062,0.4025317132472992,0.7042466998100281,,False,0.1
0,0.001,0,5,3,2,2,207,1550,0.023,0.069,0.052,0.076,0.085,0.069,0.4015234410762787,0.7092865109443665,,False,0.1
0,0.001,0,1,3,2,9,207,1520,0.022,0.057,0.074,0.075,0.079,0.074,0.3093945682048797,0.7086697220802307,,False,0.1
0,0.001,0,2,3,2,9,207,1540,0.026,0.053,0.077,0.081,0.083,0.068,0.3102793097496032,0.7015161514282227,,False,0.1
0,0.001,0,3,3,2,9,207,1850,0.027,0.042,0.047,0.077,0.082,0.062,0.3039730489253998,0.7071188688278198,,False,0.1
0,0.001,0,4,3,2,9,207,2180,0.022,0.046,0.024,0.067,0.1,0.06,0.307096928358078,0.7071676850318909,,False,0.1
0,0.001,0,5,3,2,9,207,2670,0.022,0.053,0.048,0.072,0.091,0.064,0.3055485486984253,0.7149183750152588,,False,0.1
