,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2
0,0.001,0,1,3,1,0,111,2780,0.026,0.11,0.045,0.069,0.154,0.068,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,3,1,0,111,1560,0.023,0.073,0.081,0.086,0.171,0.083,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,3,1,0,111,2080,0.031,0.059,0.053,0.083,0.173,0.079,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,3,1,0,111,1560,0.032,0.109,0.032,0.113,0.198,0.083,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,3,1,0,111,1580,0.025,0.068,0.068,0.089,0.168,0.087,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,3,2,0,207,2900,0.03,0.064,0.017,0.094,0.172,0.057,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,3,2,0,207,2530,0.028,0.121,0.067,0.082,0.175,0.077,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,3,2,0,207,1530,0.026,0.095,0.091,0.087,0.131,0.078,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,3,2,0,207,1500,0.026,0.145,0.046,0.073,0.155,0.098,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,3,2,0,207,1530,0.019,0.097,0.043,0.069,0.143,0.073,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,5,1,0,215,1750,0.025,0.073,0.038,0.072,0.151,0.067,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,5,1,0,215,2860,0.028,0.064,0.043,0.075,0.163,0.074,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,5,1,0,215,1930,0.025,0.097,0.072,0.089,0.143,0.081,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,5,1,0,215,1860,0.045,0.101,0.078,0.137,0.183,0.085,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,5,1,0,215,2820,0.054,0.071,0.066,0.16,0.22,0.103,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,5,2,0,455,2830,0.032,0.065,0.036,0.073,0.169,0.083,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,2,5,2,0,455,2580,0.026,0.103,0.076,0.074,0.156,0.066,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,3,5,2,0,455,2850,0.029,0.063,0.082,0.076,0.159,0.068,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,4,5,2,0,455,1520,0.022,0.148,0.073,0.076,0.106,0.071,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,5,5,2,0,455,1680,0.033,0.112,0.051,0.089,0.208,0.091,0.1000000014901161,0.800000011920929,,False,1.0
0,0.001,0,1,3,1,0,111,2780,0.026,0.11,0.045,0.069,0.154,0.068,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,3,1,0,111,1560,0.023,0.073,0.081,0.086,0.171,0.083,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,3,1,0,111,2080,0.031,0.059,0.053,0.083,0.173,0.079,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,3,1,0,111,1560,0.032,0.109,0.032,0.113,0.198,0.083,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,3,1,0,111,1580,0.025,0.068,0.068,0.089,0.168,0.087,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,1,3,2,0,207,2900,0.03,0.064,0.017,0.094,0.172,0.057,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,3,2,0,207,2530,0.028,0.121,0.067,0.082,0.175,0.077,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,3,2,0,207,1530,0.026,0.095,0.091,0.087,0.131,0.078,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,3,2,0,207,1500,0.026,0.145,0.046,0.073,0.155,0.098,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,3,2,0,207,1530,0.019,0.097,0.043,0.069,0.143,0.073,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,1,5,1,0,215,1750,0.025,0.073,0.038,0.072,0.151,0.067,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,5,1,0,215,2860,0.028,0.064,0.043,0.075,0.163,0.074,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,5,1,0,215,1930,0.025,0.097,0.072,0.089,0.143,0.081,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,5,1,0,215,1860,0.045,0.101,0.078,0.137,0.183,0.085,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,5,1,0,215,2820,0.054,0.071,0.066,0.16,0.22,0.103,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,1,5,2,0,455,2830,0.032,0.065,0.036,0.073,0.169,0.083,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,2,5,2,0,455,2580,0.026,0.103,0.076,0.074,0.156,0.066,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,3,5,2,0,455,2850,0.029,0.063,0.082,0.076,0.159,0.068,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,4,5,2,0,455,1520,0.022,0.148,0.073,0.076,0.106,0.071,0.1000000014901161,0.800000011920929,,False,0.1
0,0.001,0,5,5,2,0,455,1680,0.033,0.112,0.051,0.089,0.208,0.091,0.10000000149011612,0.800000011920929,,False,0.1
