,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,1,5,1,0,215,1510,0.027,0.039,0.063,0.09,0.088,0.113,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,2,5,1,0,215,2940,0.026,0.029,0.075,0.081,0.081,0.104,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,3,5,1,0,215,2810,0.03,0.056,0.081,0.089,0.079,0.112,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,4,5,1,0,215,1690,0.038,0.054,0.053,0.118,0.095,0.072,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,0,5,5,1,0,215,1990,0.041,0.052,0.051,0.136,0.124,0.127,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,1,1,5,1,0,215,2980,0.016,0.091,0.042,0.048,0.251,0.112,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,1,2,5,1,0,215,2830,0.015,0.111,0.045,0.051,0.26,0.112,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,1,3,5,1,0,215,2990,0.021,0.102,0.098,0.054,0.209,0.113,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,1,4,5,1,0,215,1590,0.026,0.124,0.089,0.076,0.2,0.106,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,1,5,5,1,0,215,2920,0.017,0.084,0.041,0.05,0.256,0.122,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,2,1,5,1,0,215,1590,0.022,0.118,0.096,0.07,0.237,0.087,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,2,2,5,1,0,215,1510,0.02,0.15,0.082,0.063,0.225,0.074,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,2,3,5,1,0,215,2990,0.018,0.12,0.097,0.061,0.224,0.073,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,2,4,5,1,0,215,1610,0.026,0.127,0.102,0.075,0.206,0.087,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,2,5,5,1,0,215,1560,0.02,0.098,0.077,0.059,0.187,0.102,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,3,1,5,1,0,215,2260,0.024,0.081,0.077,0.08,0.112,0.131,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,3,2,5,1,0,215,2900,0.025,0.16,0.083,0.089,0.082,0.072,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,3,3,5,1,0,215,2990,0.026,0.14,0.111,0.089,0.092,0.107,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,3,4,5,1,0,215,1890,0.027,0.16,0.127,0.093,0.065,0.116,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,3,5,5,1,0,215,2930,0.025,0.153,0.117,0.087,0.066,0.121,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,4,1,5,1,0,215,2960,0.02,0.054,0.058,0.065,0.137,0.162,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,4,2,5,1,0,215,1570,0.024,0.061,0.034,0.082,0.119,0.107,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,4,3,5,1,0,215,2960,0.022,0.055,0.194,0.072,0.144,0.151,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,4,4,5,1,0,215,1820,0.038,0.048,0.037,0.12,0.077,0.09,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,4,5,5,1,0,215,1500,0.022,0.043,0.18,0.079,0.143,0.182,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,5,1,5,1,0,215,1770,0.013,0.046,0.046,0.042,0.141,0.099,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,5,2,5,1,0,215,1540,0.017,0.147,0.106,0.055,0.215,0.068,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,5,3,5,1,0,215,2040,0.017,0.155,0.145,0.057,0.213,0.069,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,5,4,5,1,0,215,2990,0.019,0.155,0.13,0.062,0.195,0.065,0.1000000014901161,0.800000011920929,,False,0.1,133
0,0.001,5,5,5,1,0,215,2150,0.019,0.135,0.126,0.065,0.265,0.082,0.10000000149011612,0.800000011920929,,False,0.1,133
