,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,1,3,1,2,111,2640,0.031,0.083,0.054,0.112,0.186,0.132,0.3453550040721893,0.7248266339302063,,False,1.0,2
0,0.001,0,2,3,1,2,111,1960,0.035,0.095,0.053,0.124,0.216,0.128,0.3464806377887726,0.7253753542900085,,False,1.0,2
0,0.001,0,3,3,1,2,111,2730,0.033,0.089,0.053,0.114,0.2,0.12,0.3446824848651886,0.7313449382781982,,False,1.0,2
0,0.001,0,4,3,1,2,111,1580,0.034,0.078,0.058,0.117,0.175,0.138,0.3456087112426758,0.7336552739143372,,False,1.0,2
0,0.001,0,5,3,1,2,111,2080,0.031,0.08,0.054,0.108,0.187,0.123,0.34400475025177,0.7370131611824036,,False,1.0,2
0,0.001,1,1,3,1,2,111,1520,0.029,0.092,0.099,0.099,0.195,0.153,0.3424644470214844,0.7602910995483398,,False,1.0,2
0,0.001,1,2,3,1,2,111,2990,0.029,0.036,0.104,0.1,0.131,0.192,0.3405505716800689,0.7690027356147766,,False,1.0,2
0,0.001,1,3,3,1,2,111,1610,0.029,0.092,0.084,0.094,0.212,0.155,0.341247946023941,0.7645404934883118,,False,1.0,2
0,0.001,1,4,3,1,2,111,2830,0.031,0.071,0.076,0.106,0.213,0.149,0.3390045464038849,0.7762578725814819,,False,1.0,2
0,0.001,1,5,3,1,2,111,1540,0.03,0.053,0.095,0.099,0.142,0.152,0.3420193493366241,0.7618217468261719,,False,1.0,2
0,0.001,2,1,3,1,2,111,1600,0.037,0.162,0.096,0.119,0.344,0.16,0.3579990565776825,0.7357404828071594,,False,1.0,2
0,0.001,2,2,3,1,2,111,1510,0.041,0.17,0.101,0.122,0.301,0.142,0.3546530902385711,0.7685592174530029,,False,1.0,2
0,0.001,2,3,3,1,2,111,1500,0.038,0.181,0.113,0.112,0.322,0.147,0.3548647165298462,0.7787520885467529,,False,1.0,2
0,0.001,2,4,3,1,2,111,1530,0.04,0.17,0.119,0.13,0.295,0.157,0.3563013970851898,0.7688295841217041,,False,1.0,2
0,0.001,2,5,3,1,2,111,1500,0.038,0.173,0.116,0.118,0.311,0.148,0.3547779619693756,0.7780283689498901,,False,1.0,2
0,0.001,3,1,3,1,2,111,1510,0.029,0.116,0.119,0.104,0.113,0.145,0.3423163890838623,0.7389453053474426,,False,1.0,2
0,0.001,3,2,3,1,2,111,2100,0.033,0.032,0.107,0.116,0.102,0.189,0.3427846133708954,0.7610006928443909,,False,1.0,2
0,0.001,3,3,3,1,2,111,1750,0.031,0.059,0.12,0.11,0.115,0.181,0.3438490927219391,0.7625682950019836,,False,1.0,2
0,0.001,3,4,3,1,2,111,1570,0.028,0.124,0.117,0.106,0.125,0.134,0.3406597077846527,0.7640143632888794,,False,1.0,2
0,0.001,3,5,3,1,2,111,2360,0.034,0.079,0.121,0.12,0.114,0.185,0.3414576351642608,0.7660821080207825,,False,1.0,2
0,0.001,4,1,3,1,2,111,2990,0.031,0.075,0.058,0.12,0.198,0.147,0.3419858813285827,0.7697108387947083,,False,1.0,2
0,0.001,4,2,3,1,2,111,1550,0.034,0.098,0.081,0.117,0.229,0.134,0.3443238437175751,0.7552727460861206,,False,1.0,2
0,0.001,4,3,3,1,2,111,1730,0.035,0.095,0.079,0.124,0.217,0.12,0.3399861454963684,0.7621999979019165,,False,1.0,2
0,0.001,4,4,3,1,2,111,1530,0.03,0.095,0.058,0.105,0.215,0.116,0.3408731520175934,0.7746049761772156,,False,1.0,2
0,0.001,4,5,3,1,2,111,1530,0.038,0.078,0.056,0.136,0.187,0.12,0.3436791002750397,0.7399520874023438,,False,1.0,2
0,0.001,5,1,3,1,2,111,2990,0.027,0.062,0.091,0.091,0.223,0.199,0.3336388170719147,0.7923217415809631,,False,1.0,2
0,0.001,5,2,3,1,2,111,1530,0.023,0.199,0.058,0.086,0.487,0.189,0.347913920879364,0.7844935059547424,,False,1.0,2
0,0.001,5,3,3,1,2,111,1610,0.025,0.105,0.108,0.086,0.293,0.257,0.3412274420261383,0.7886620163917542,,False,1.0,2
0,0.001,5,4,3,1,2,111,2960,0.022,0.123,0.126,0.081,0.234,0.281,0.3342611193656921,0.7966179847717285,,False,1.0,2
0,0.001,5,5,3,1,2,111,2130,0.022,0.179,0.087,0.077,0.417,0.16,0.34618961811065674,0.801196277141571,,False,1.0,2
