,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,1,3,1,2,111,2600,0.025,0.073,0.056,0.096,0.136,0.128,0.3386619687080383,0.8026780486106873,,False,1.0,301
0,0.001,0,2,3,1,2,111,2880,0.03,0.083,0.05,0.111,0.165,0.124,0.3382653295993805,0.806148111820221,,False,1.0,301
0,0.001,0,3,3,1,2,111,1870,0.034,0.075,0.066,0.125,0.163,0.129,0.3420163094997406,0.7929458618164062,,False,1.0,301
0,0.001,0,4,3,1,2,111,2130,0.028,0.07,0.057,0.103,0.143,0.131,0.3372448682785034,0.8136492967605591,,False,1.0,301
0,0.001,0,5,3,1,2,111,1610,0.025,0.072,0.055,0.095,0.13,0.116,0.3383699953556061,0.8116391897201538,,False,1.0,301
0,0.001,1,1,3,1,2,111,2960,0.028,0.064,0.1,0.086,0.161,0.127,0.3361096382141113,0.8195215463638306,,False,1.0,301
0,0.001,1,2,3,1,2,111,2800,0.032,0.051,0.097,0.097,0.139,0.16,0.3380818963050842,0.8192507028579712,,False,1.0,301
0,0.001,1,3,3,1,2,111,2360,0.03,0.071,0.069,0.089,0.174,0.136,0.336934357881546,0.8270593285560608,,False,1.0,301
0,0.001,1,4,3,1,2,111,2610,0.031,0.042,0.075,0.098,0.13,0.123,0.3374985754489898,0.8307844400405884,,False,1.0,301
0,0.001,1,5,3,1,2,111,2580,0.029,0.038,0.076,0.089,0.139,0.121,0.33669114112854,0.8315917253494263,,False,1.0,301
0,0.001,2,1,3,1,2,111,1560,0.033,0.147,0.107,0.106,0.304,0.17,0.3531289100646972,0.7898843884468079,,False,1.0,301
0,0.001,2,2,3,1,2,111,1720,0.041,0.144,0.102,0.115,0.277,0.16,0.3506900370121002,0.8230941295623779,,False,1.0,301
0,0.001,2,3,3,1,2,111,1520,0.03,0.162,0.12,0.095,0.29,0.159,0.3512114882469177,0.8345061540603638,,False,1.0,301
0,0.001,2,4,3,1,2,111,1580,0.034,0.153,0.125,0.111,0.263,0.158,0.349710613489151,0.8294309377670288,,False,1.0,301
0,0.001,2,5,3,1,2,111,2960,0.026,0.161,0.121,0.086,0.233,0.131,0.346696674823761,0.8484711647033691,,False,1.0,301
0,0.001,3,1,3,1,2,111,1570,0.038,0.099,0.091,0.127,0.119,0.129,0.33370241522789,0.7937194108963013,,False,1.0,301
0,0.001,3,2,3,1,2,111,1620,0.057,0.085,0.106,0.162,0.098,0.162,0.3436661064624786,0.793929398059845,,False,1.0,301
0,0.001,3,3,3,1,2,111,2850,0.036,0.12,0.122,0.117,0.083,0.155,0.3379497528076172,0.8129146099090576,,False,1.0,301
0,0.001,3,4,3,1,2,111,1520,0.035,0.108,0.104,0.116,0.109,0.125,0.336459219455719,0.8060404658317566,,False,1.0,301
0,0.001,3,5,3,1,2,111,2070,0.038,0.128,0.121,0.124,0.089,0.15,0.3388167023658752,0.8095311522483826,,False,1.0,301
0,0.001,4,1,3,1,2,111,2990,0.028,0.055,0.038,0.104,0.154,0.113,0.3357663154602051,0.8246690630912781,,False,1.0,301
0,0.001,4,2,3,1,2,111,2990,0.034,0.082,0.082,0.123,0.147,0.131,0.3336139917373657,0.8143081665039062,,False,1.0,301
0,0.001,4,3,3,1,2,111,1740,0.035,0.068,0.07,0.125,0.136,0.126,0.3352493941783905,0.8186023831367493,,False,1.0,301
0,0.001,4,4,3,1,2,111,1670,0.033,0.075,0.069,0.119,0.147,0.137,0.3371354341506958,0.8215954303741455,,False,1.0,301
0,0.001,4,5,3,1,2,111,2810,0.035,0.064,0.061,0.124,0.136,0.117,0.3332471251487732,0.8155097961425781,,False,1.0,301
0,0.001,5,1,3,1,2,111,2080,0.035,0.098,0.049,0.111,0.277,0.121,0.3385710716247558,0.8275941610336304,,False,1.0,301
0,0.001,5,2,3,1,2,111,2980,0.028,0.075,0.062,0.093,0.203,0.172,0.335795909166336,0.8421206474304199,,False,1.0,301
0,0.001,5,3,3,1,2,111,1500,0.034,0.058,0.051,0.108,0.196,0.133,0.3409720957279205,0.8308336734771729,,False,1.0,301
0,0.001,5,4,3,1,2,111,1500,0.038,0.096,0.104,0.125,0.201,0.182,0.3401557803153991,0.8263717889785767,,False,1.0,301
0,0.001,5,5,3,1,2,111,1660,0.028,0.159,0.093,0.087,0.317,0.106,0.3460947275161743,0.8482001423835754,,False,1.0,301
