,lr,n_split,random_sees,hidden_size,num_layer,weight_physic,Trainable_Params,epoch,train_rMSE,validation_rMSE,test_rMSE,train_shapeDTW,validation_shapeDTW,test_shapeDTW,predicted_r,predicted_y_max,smooth_alpha,ode_int,l2,genotype
0,0.001,0,1,3,1,2,111,2960,0.035,0.068,0.077,0.119,0.158,0.107,0.3351889550685882,0.8181530237197876,,False,1.0,362
0,0.001,0,2,3,1,2,111,1700,0.051,0.08,0.094,0.16,0.195,0.123,0.3428664207458496,0.7952965497970581,,False,1.0,362
0,0.001,0,3,3,1,2,111,1530,0.039,0.066,0.087,0.129,0.163,0.116,0.3366091549396515,0.8140009045600891,,False,1.0,362
0,0.001,0,4,3,1,2,111,2730,0.037,0.067,0.076,0.123,0.159,0.11,0.3344295620918274,0.8249838352203369,,False,1.0,362
0,0.001,0,5,3,1,2,111,2970,0.034,0.068,0.072,0.114,0.145,0.091,0.3335887491703033,0.8300104737281799,,False,1.0,362
0,0.001,1,1,3,1,2,111,1500,0.033,0.151,0.096,0.11,0.244,0.18,0.3432359397411346,0.7745838761329651,,False,1.0,362
0,0.001,1,2,3,1,2,111,2990,0.034,0.062,0.093,0.103,0.195,0.191,0.3378019034862518,0.8088721036911011,,False,1.0,362
0,0.001,1,3,3,1,2,111,2880,0.028,0.126,0.081,0.089,0.227,0.162,0.3382531106472015,0.8181537389755249,,False,1.0,362
0,0.001,1,4,3,1,2,111,2610,0.028,0.088,0.08,0.096,0.198,0.155,0.3381890058517456,0.8188627362251282,,False,1.0,362
0,0.001,1,5,3,1,2,111,2390,0.027,0.085,0.086,0.088,0.183,0.152,0.3374045789241791,0.8191685080528259,,False,1.0,362
0,0.001,2,1,3,1,2,111,1560,0.037,0.145,0.132,0.118,0.341,0.151,0.3530396819114685,0.7923245429992676,,False,1.0,362
0,0.001,2,2,3,1,2,111,1510,0.044,0.142,0.132,0.128,0.314,0.151,0.3527265191078186,0.8203378915786743,,False,1.0,362
0,0.001,2,3,3,1,2,111,1500,0.039,0.157,0.145,0.112,0.341,0.151,0.3522011637687683,0.8355249762535095,,False,1.0,362
0,0.001,2,4,3,1,2,111,1560,0.039,0.15,0.149,0.126,0.31,0.145,0.3500292301177978,0.8320075869560242,,False,1.0,362
0,0.001,2,5,3,1,2,111,2920,0.03,0.159,0.151,0.098,0.275,0.11,0.3466428220272064,0.8543142676353455,,False,1.0,362
0,0.001,3,1,3,1,2,111,1510,0.046,0.188,0.128,0.152,0.143,0.158,0.3339806199073791,0.7798929810523987,,False,1.0,362
0,0.001,3,2,3,1,2,111,1590,0.039,0.08,0.104,0.139,0.147,0.196,0.3357509076595306,0.7925670146942139,,False,1.0,362
0,0.001,3,3,3,1,2,111,1700,0.046,0.224,0.173,0.15,0.102,0.193,0.342693567276001,0.7929273247718811,,False,1.0,362
0,0.001,3,4,3,1,2,111,1520,0.04,0.198,0.159,0.133,0.116,0.189,0.3378525972366333,0.7936839461326599,,False,1.0,362
0,0.001,3,5,3,1,2,111,2450,0.039,0.208,0.171,0.134,0.09,0.195,0.338285356760025,0.807762861251831,,False,1.0,362
0,0.001,4,1,3,1,2,111,2400,0.042,0.048,0.039,0.145,0.131,0.095,0.3355661630630493,0.8219452500343323,,False,1.0,362
0,0.001,4,2,3,1,2,111,2990,0.049,0.079,0.117,0.166,0.146,0.122,0.3345811069011688,0.8146058320999146,,False,1.0,362
0,0.001,4,3,3,1,2,111,1660,0.047,0.059,0.092,0.158,0.139,0.109,0.333990067243576,0.8230696320533752,,False,1.0,362
0,0.001,4,4,3,1,2,111,1670,0.045,0.07,0.091,0.147,0.152,0.123,0.3351614773273468,0.8243480324745178,,False,1.0,362
0,0.001,4,5,3,1,2,111,2000,0.051,0.058,0.097,0.171,0.133,0.112,0.3360306918621063,0.8038447499275208,,False,1.0,362
0,0.001,5,1,3,1,2,111,2990,0.037,0.105,0.079,0.116,0.322,0.117,0.3355605602264404,0.8305994272232056,,False,1.0,362
0,0.001,5,2,3,1,2,111,2820,0.032,0.114,0.082,0.109,0.333,0.149,0.3430128991603851,0.8337029218673706,,False,1.0,362
0,0.001,5,3,3,1,2,111,2970,0.035,0.072,0.09,0.112,0.247,0.19,0.3346298336982727,0.8325842618942261,,False,1.0,362
0,0.001,5,4,3,1,2,111,1510,0.037,0.179,0.099,0.129,0.304,0.193,0.3384244441986084,0.8168025612831116,,False,1.0,362
0,0.001,5,5,3,1,2,111,1570,0.036,0.165,0.218,0.117,0.384,0.155,0.3442838191986084,0.8370756506919861,,False,1.0,362
