,genotype,predicted_r_val,predicted_y_max_val
0,106,0.37637275,0.9739616
1,122,0.37893468,0.77808917
2,133,0.37780127,0.88510495
3,17,0.37680712,0.93066174
4,2,0.3770032,0.9423875
5,218,0.37891045,0.76336193
6,254,0.37914914,0.7509199
7,282,0.376977,0.9202709
8,294,0.3757729,1.033144
9,30,0.37731478,0.9047595
10,301,0.3761044,0.9887427
11,302,0.37579617,1.0329046
12,33,0.37658134,0.9542999
13,335,0.37904665,0.7680355
14,339,0.37888515,0.7672042
15,341,0.37874398,0.7949369
16,362,0.37579617,1.0327775
17,5,0.37741232,0.89510447
18,6,0.37608087,0.99720794
