,genotype,predicted_r_val,predicted_y_max_val
0,106,0.36665177,0.97378016
1,122,0.36906168,0.77810407
2,133,0.3678583,0.88645184
3,17,0.36713907,0.9294488
4,2,0.36715457,0.94342834
5,218,0.3692377,0.7613147
6,254,0.36934417,0.7501389
7,282,0.3672188,0.9210791
8,294,0.36602917,1.032734
9,30,0.36753818,0.9049711
10,301,0.36646634,0.9873567
11,302,0.36621657,1.0293498
12,33,0.3668985,0.95317113
13,335,0.3691219,0.76902354
14,339,0.36913267,0.7659952
15,341,0.3688781,0.79468167
16,362,0.36600068,1.033105
17,5,0.36764902,0.89519495
18,6,0.3663794,0.99766743
