,106,122,133,17,2,218,254,282,294,30,301,302,33,335,339,341,362,5,6,106,122,133,17,2,218,254,282,294,30,301,302,33,335,339,341,362,5,6
0,0.03664626,0.014406666,0.015057925,0.0022032037,0.01719205,0.026142567,0.008730356,0.023472562,0.03441995,0.050715145,0.030629307,-0.00010686457,0.031013168,0.01843452,-0.00017890475,0.0027223527,0.045177154,0.034752622,0.049026377,0.03664626,0.014406666,0.015057925,0.0022032037,0.01719205,0.026142567,0.008730356,0.023472562,0.03441995,0.050715145,0.030629307,-0.00010686457,0.031013168,0.01843452,-0.00017890475,0.0027223527,0.045177154,0.034752622,0.049026377
1,-4.6597794e-05,-9.164601e-05,-0.000113598035,-0.00025777778,-9.225666e-05,0.000485681,-0.00014930964,-0.00010037101,-0.00020025029,0.016532015,-0.00021192222,-0.00037104182,-4.50699e-05,-4.9126294e-05,-0.0004314299,-0.00021307706,-0.000111522524,0.008334897,0.0042713657,-4.6597794e-05,-9.164601e-05,-0.000113598035,-0.00025777778,-9.225666e-05,0.000485681,-0.00014930964,-0.00010037101,-0.00020025029,0.016532015,-0.00021192222,-0.00037104182,-4.50699e-05,-4.9126294e-05,-0.0004314299,-0.00021307706,-0.000111522524,0.008334897,0.0042713657
2,-0.00024956232,-0.00021190233,-0.0002471616,-0.00045843027,-0.00026993683,-0.00011539958,-0.00026956588,-0.0003033355,-0.00040321477,-2.8942897e-05,-0.0004148867,-0.00056876184,-0.00024803437,-0.00016938262,-0.0005516862,-0.00033333316,-0.0003428062,-8.716009e-05,-0.00019476644,-0.00024956232,-0.00021190233,-0.0002471616,-0.00045843027,-0.00026993683,-0.00011539958,-0.00026956588,-0.0003033355,-0.00040321477,-2.8942897e-05,-0.0004148867,-0.00056876184,-0.00024803437,-0.00016938262,-0.0005516862,-0.00033333316,-0.0003428062,-8.716009e-05,-0.00019476637
3,-0.00035668456,-0.00029482282,-0.00033008202,-0.0005413508,-0.0003528574,-0.00019832022,-0.0003524866,-0.00038975768,-0.00052280445,-0.00011186346,-0.0005316472,-0.0006516822,-0.00034267356,-0.00025230317,-0.0006346067,-0.0004162541,-0.0004691913,-0.00017008066,-0.00031340204,-0.00035668456,-0.00029482282,-0.00033008202,-0.0005413508,-0.0003528574,-0.00019832022,-0.0003524866,-0.00038975768,-0.00052280445,-0.00011186346,-0.0005316472,-0.0006516822,-0.00034267356,-0.00025230317,-0.0006346067,-0.0004162541,-0.0004691913,-0.00017008066,-0.00031340204
4,-0.00041150546,-0.00034964396,-0.00038490316,-0.0005961718,-0.00040767834,-0.00025314113,-0.00040730767,-0.0004445786,-0.00057762564,-0.00016668446,-0.00058646797,-0.00070650346,-0.0003974945,-0.0003071241,-0.0006894276,-0.00047107486,-0.0005240123,-0.00022490165,-0.00036822326,-0.00041150546,-0.00034964396,-0.00038490316,-0.0005961718,-0.00040767834,-0.00025314113,-0.00040730767,-0.0004445786,-0.00057762564,-0.00016668446,-0.00058646797,-0.00070650346,-0.0003974945,-0.0003071241,-0.0006894276,-0.00047107486,-0.0005240123,-0.00022490165,-0.00036822312
5,-0.00044754794,-0.000385686,-0.00042094535,-0.0006322142,-0.00044372067,-0.00028918326,-0.00044334968,-0.00048062063,-0.0006136676,-0.00020272672,-0.0006225101,-0.00074254547,-0.00043353677,-0.0003431663,-0.00072546996,-0.0005071172,-0.00056005456,-0.00026094375,-0.0004042653,-0.00044754794,-0.000385686,-0.00042094535,-0.0006322142,-0.00044372067,-0.00028918326,-0.00044334968,-0.00048062063,-0.0006136676,-0.00020272672,-0.0006225101,-0.00074254547,-0.00043353677,-0.0003431663,-0.00072546996,-0.0005071172,-0.00056005456,-0.00026094375,-0.0004042653
6,-0.0004714184,-0.00040955676,-0.0004448161,-0.0006560846,-0.0004675912,-0.000313054,-0.00046722047,-0.00050449144,-0.0006375383,-0.00022659764,-0.000646381,-0.0007664161,-0.00045740706,-0.00036703696,-0.0007493407,-0.0005309878,-0.0005839252,-0.00028481454,-0.00042813606,-0.0004714184,-0.00040955676,-0.0004448161,-0.0006560846,-0.0004675912,-0.000313054,-0.00046722047,-0.00050449144,-0.0006375383,-0.00022659764,-0.000646381,-0.0007664161,-0.00045740706,-0.00036703696,-0.0007493407,-0.0005309878,-0.0005839252,-0.00028481454,-0.00042813606
7,-0.00048726192,-0.00042540007,-0.00046065924,-0.00067192817,-0.0004834348,-0.00032889738,-0.00048306375,-0.0005203347,-0.0006533816,-0.00024244084,-0.00066222437,-0.00078225974,-0.00047325058,-0.00038288048,-0.00076518394,-0.0005468311,-0.00059976854,-0.00030065788,-0.00044397934,-0.00048726192,-0.00042540007,-0.00046065924,-0.00067192817,-0.0004834348,-0.00032889738,-0.00048306375,-0.0005203347,-0.0006533816,-0.00024244084,-0.00066222437,-0.00078225974,-0.00047325058,-0.00038288048,-0.00076518394,-0.0005468311,-0.00059976854,-0.00030065788,-0.00044397934
8,-0.00049756607,-0.00043570413,-0.0004709634,-0.00068223214,-0.00049373886,-0.00033920154,-0.0004933681,-0.00053063885,-0.0006636857,-0.0002527449,-0.0006725285,-0.0007925639,-0.00048355482,-0.00039318463,-0.0007754882,-0.0005571354,-0.0006100727,-0.00031096203,-0.0004542835,-0.00049756607,-0.00043570413,-0.0004709634,-0.00068223214,-0.00049373886,-0.00033920154,-0.0004933681,-0.00053063885,-0.0006636857,-0.0002527449,-0.0006725285,-0.0007925639,-0.00048355482,-0.00039318463,-0.0007754882,-0.0005571354,-0.0006100727,-0.00031096203,-0.0004542835
