,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3733886,0.9737887
1,122,0.3758406,0.78001547
2,133,0.3744419,0.88848794
3,17,0.37380236,0.92834294
4,2,0.37423927,0.94622195
5,218,0.37604445,0.76392514
6,254,0.3756423,0.7507211
7,282,0.37380597,0.9194965
8,294,0.3727921,1.033192
9,30,0.3735697,0.9057942
10,301,0.37311476,0.986474
11,302,0.3723704,1.0302398
12,33,0.37345663,0.9532699
13,335,0.3755706,0.76908034
14,339,0.37573707,0.76500684
15,341,0.37544823,0.7955004
16,362,0.37151393,1.03104
17,5,0.3743928,0.89556736
18,6,0.37295562,0.9979992
