,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3670672,0.9722637
1,122,0.3691909,0.77789235
2,133,0.36798015,0.88581777
3,17,0.3670175,0.9273894
4,2,0.36706015,0.9441897
5,218,0.3700506,0.7603657
6,254,0.37020367,0.74719656
7,282,0.36747938,0.9237917
8,294,0.36564246,1.0323262
9,30,0.3682869,0.90485513
10,301,0.36635002,0.99091476
11,302,0.36453494,1.0321945
12,33,0.3670597,0.9556176
13,335,0.36974502,0.7695965
14,339,0.36920837,0.76228684
15,341,0.36944318,0.7942654
16,362,0.36582085,1.0352472
17,5,0.36815742,0.8948433
18,6,0.36659408,0.99989235
