,genotype,predicted_r_val,predicted_y_max_val
0,106,0.36062735,0.9732797
1,122,0.3667228,0.77673614
2,133,0.36432132,0.8876653
3,17,0.36119345,0.9294597
4,2,0.36278915,0.9443034
5,218,0.36493427,0.7629359
6,254,0.36553106,0.7499145
7,282,0.36173916,0.91881263
8,294,0.35976595,1.0341957
9,30,0.3631956,0.9040937
10,301,0.35972306,0.9879448
11,302,0.3603268,1.0344913
12,33,0.3608645,0.9532422
13,335,0.36562178,0.76811993
14,339,0.3649972,0.7657106
15,341,0.36551693,0.795768
16,362,0.35923317,1.0349027
17,5,0.3629714,0.89466953
18,6,0.36067745,0.9973767
