,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3699721,0.9724802
1,122,0.3726979,0.78038055
2,133,0.37036034,0.88822913
3,17,0.36943215,0.92864704
4,2,0.3697185,0.9464868
5,218,0.37235114,0.7609628
6,254,0.3719873,0.7483461
7,282,0.36944756,0.9201769
8,294,0.36801395,1.0344782
9,30,0.36941445,0.9045237
10,301,0.36874118,0.98703974
11,302,0.36778417,1.0338433
12,33,0.3690879,0.9539202
13,335,0.3716988,0.7687332
14,339,0.3718118,0.76417506
15,341,0.3712861,0.79535484
16,362,0.36764297,1.0352374
17,5,0.3707294,0.8953023
18,6,0.36827326,0.99787694
