,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3703925,0.9740193
1,122,0.371982,0.7784285
2,133,0.371151,0.8864658
3,17,0.3707411,0.9294361
4,2,0.37068126,0.9430079
5,218,0.3720499,0.76287454
6,254,0.37216187,0.7520678
7,282,0.37078765,0.92132485
8,294,0.36996493,1.0321678
9,30,0.37091547,0.9050431
10,301,0.3702912,0.98792577
11,302,0.37008223,1.0293366
12,33,0.3705514,0.95346713
13,335,0.37202716,0.7692255
14,339,0.37205547,0.76825976
15,341,0.37183988,0.79650015
16,362,0.3699579,1.0334188
17,5,0.37101805,0.89479613
18,6,0.3702154,0.997686
