,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3647808,0.97403604
1,122,0.3669435,0.77717775
2,133,0.36583683,0.8864296
3,17,0.36520815,0.929367
4,2,0.3652143,0.94350076
5,218,0.3670404,0.7611032
6,254,0.36712497,0.75119567
7,282,0.36530644,0.9203068
8,294,0.36422333,1.0328908
9,30,0.36555907,0.90530646
10,301,0.36462486,0.98735344
11,302,0.36432704,1.0301777
12,33,0.36498973,0.953555
13,335,0.3669798,0.77021396
14,339,0.36690873,0.7662905
15,341,0.36670277,0.795408
16,362,0.3642107,1.0331967
17,5,0.36568418,0.894525
18,6,0.36454514,0.99765545
