,genotype,predicted_r_val,predicted_y_max_val
0,106,0.36271015,0.97215015
1,122,0.36642343,0.77904403
2,133,0.36489317,0.88807756
3,17,0.36276937,0.9283782
4,2,0.36358157,0.94506234
5,218,0.36619782,0.75960046
6,254,0.36705846,0.74923855
7,282,0.36323038,0.9192389
8,294,0.36118898,1.034499
9,30,0.36397937,0.9047311
10,301,0.3617352,0.9875925
11,302,0.3611347,1.0349152
12,33,0.36235324,0.9539744
13,335,0.36634278,0.7680373
14,339,0.36593115,0.76424134
15,341,0.36578295,0.795246
16,362,0.36112404,1.0359563
17,5,0.36422205,0.8949628
18,6,0.36221355,0.9970079
