,genotype,predicted_r_val,predicted_y_max_val
0,106,0.36856043,0.9740843
1,122,0.37080082,0.7787264
2,133,0.36972967,0.88652337
3,17,0.36901596,0.9296391
4,2,0.36903006,0.9428152
5,218,0.37093654,0.76173717
6,254,0.37103707,0.75113857
7,282,0.36907127,0.92088646
8,294,0.3680459,1.032549
9,30,0.3694383,0.90453744
10,301,0.36842182,0.98724115
11,302,0.36819088,1.0302142
12,33,0.36877865,0.95367485
13,335,0.37084594,0.76970136
14,339,0.3708584,0.76626635
15,341,0.37064037,0.7955916
16,362,0.36802042,1.0328326
17,5,0.36953315,0.8949152
18,6,0.36833918,0.99771327
