,genotype,predicted_r_val,predicted_y_max_val
0,106,0.36668554,0.97186625
1,122,0.3704262,0.7794032
2,133,0.3682996,0.88779354
3,17,0.3666576,0.9256697
4,2,0.36509213,0.9439132
5,218,0.37060544,0.75867486
6,254,0.37055027,0.74867475
7,282,0.3668031,0.92113173
8,294,0.36480838,1.0377221
9,30,0.3666794,0.90626395
10,301,0.36418197,0.9884267
11,302,0.36345142,1.0319629
12,33,0.36567563,0.95380723
13,335,0.36997658,0.7674174
14,339,0.36953107,0.76231754
15,341,0.3658323,0.7970902
16,362,0.36470404,1.035908
17,5,0.36707437,0.8952082
18,6,0.36533076,0.99732184
