,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3667765,0.9739315
1,122,0.36889982,0.7773238
2,133,0.36762047,0.8854981
3,17,0.3678531,0.9293629
4,2,0.36690477,0.9441512
5,218,0.37145287,0.7660552
6,254,0.36923876,0.749061
7,282,0.3674745,0.9201131
8,294,0.36631718,1.0327538
9,30,0.36652672,0.9058758
10,301,0.36703208,0.9914637
11,302,0.36595318,1.0342863
12,33,0.3670808,0.9531803
13,335,0.36897305,0.76699495
14,339,0.36908367,0.76360154
15,341,0.36876336,0.79340684
16,362,0.36605102,1.0351055
17,5,0.36825174,0.8918561
18,6,0.36481065,0.99902225
