,genotype,predicted_r_val,predicted_y_max_val
0,106,0.36431333,0.9752704
1,122,0.36470827,0.7704077
2,133,0.36641943,0.8859669
3,17,0.3647101,0.9303166
4,2,0.36583123,0.94805795
5,218,0.3650535,0.76315844
6,254,0.36390617,0.7539865
7,282,0.36389947,0.9221576
8,294,0.36542606,1.033794
9,30,0.36298725,0.90459937
10,301,0.364895,0.9882757
11,302,0.36645982,1.0313079
12,33,0.36427638,0.95709705
13,335,0.3644759,0.77140915
14,339,0.36436054,0.7619799
15,341,0.36385188,0.7848406
16,362,0.3650291,1.0330523
17,5,0.36251327,0.8968078
18,6,0.36502397,0.99784
