,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3713952,0.9734228
1,122,0.3755463,0.7777926
2,133,0.37481025,0.8878566
3,17,0.3723575,0.9290079
4,2,0.37325057,0.9437733
5,218,0.37497696,0.7619131
6,254,0.37539768,0.75122666
7,282,0.3727756,0.9208685
8,294,0.37134224,1.0320914
9,30,0.37355393,0.906115
10,301,0.37129092,0.9872711
11,302,0.37187666,1.0307477
12,33,0.37205827,0.9540134
13,335,0.37567917,0.76834744
14,339,0.3755222,0.76623166
15,341,0.37549043,0.7948604
16,362,0.3713386,1.033777
17,5,0.37355405,0.89507526
18,6,0.37106732,0.9974488
