,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3721141,0.97443414
1,122,0.37212986,0.780184
2,133,0.37196946,0.8861023
3,17,0.37180635,0.92878217
4,2,0.3708903,0.9430855
5,218,0.37663996,0.76213807
6,254,0.3755675,0.7494974
7,282,0.37277392,0.9195443
8,294,0.37004036,1.0336267
9,30,0.37422773,0.9056665
10,301,0.37157813,0.98759234
11,302,0.36785993,1.0306411
12,33,0.37232393,0.95362115
13,335,0.37299335,0.7719878
14,339,0.37355673,0.7630272
15,341,0.37365183,0.79368114
16,362,0.3707937,1.0345044
17,5,0.37359792,0.8952471
18,6,0.3719644,0.9983071
