,genotype,predicted_r_val,predicted_y_max_val
0,106,0.37239975,0.97336817
1,122,0.37447008,0.7787545
2,133,0.3736105,0.88713795
3,17,0.37276873,0.9300597
4,2,0.37297815,0.94397587
5,218,0.3743825,0.7612086
6,254,0.37488693,0.7524326
7,282,0.37284392,0.91961306
8,294,0.37184978,1.0347443
9,30,0.37315446,0.90472984
10,301,0.37218606,0.98794717
11,302,0.37214202,1.0339673
12,33,0.3723647,0.95332634
13,335,0.3744817,0.76764464
14,339,0.37446246,0.7662348
15,341,0.37432313,0.7955742
16,362,0.3718021,1.0347354
17,5,0.37324625,0.8944571
18,6,0.3721718,0.9970821
