,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3693597,0.97342217
1,122,0.36902824,0.77704334
2,133,0.3688034,0.88859403
3,17,0.3691876,0.9279133
4,2,0.3689365,0.9442035
5,218,0.36929053,0.76134145
6,254,0.36914146,0.7503867
7,282,0.36931655,0.9185479
8,294,0.36918953,1.0336988
9,30,0.36938095,0.9046116
10,301,0.36933988,0.9866827
11,302,0.36872813,1.0340761
12,33,0.36931834,0.952499
13,335,0.3690904,0.77105254
14,339,0.3690828,0.7685064
15,341,0.3689066,0.79685867
16,362,0.36926734,1.0332191
17,5,0.36926007,0.89379644
18,6,0.36943668,0.99723107
