,genotype,predicted_r_val,predicted_y_max_val
0,106,0.37061152,0.9728079
1,122,0.37303784,0.7797515
2,133,0.3716023,0.88716316
3,17,0.37097928,0.93039155
4,2,0.37085027,0.94458765
5,218,0.37342012,0.76162934
6,254,0.3734938,0.74858475
7,282,0.3712012,0.92043424
8,294,0.36979133,1.0328891
9,30,0.37157914,0.9044984
10,301,0.37034982,0.9880328
11,302,0.3695315,1.0342757
12,33,0.37082693,0.954551
13,335,0.3732838,0.7682036
14,339,0.37316605,0.765569
15,341,0.37279606,0.79504514
16,362,0.369819,1.0345699
17,5,0.37162527,0.8945081
18,6,0.37036923,0.99715555
