,genotype,predicted_r_val,predicted_y_max_val
0,106,0.3748297,0.9722705
1,122,0.37849137,0.7781236
2,133,0.37788197,0.8895472
3,17,0.37527883,0.92929333
4,2,0.37607342,0.9448731
5,218,0.37837264,0.75902855
6,254,0.37853834,0.74757767
7,282,0.3756603,0.92167217
8,294,0.37412858,1.0342729
9,30,0.37735203,0.9062049
10,301,0.3745407,0.9883117
11,302,0.3754622,1.0346445
12,33,0.3759712,0.9541091
13,335,0.37942722,0.76763016
14,339,0.3786514,0.7655634
15,341,0.37791473,0.7938143
16,362,0.37434533,1.036335
17,5,0.3767591,0.8950188
18,6,0.37411684,0.9966276
